trial_id,user_message,label,model_choice
1631,"describer: mouse
",B,E
1632,"describer: indiana diamond
",H,A
1633,"describer: skate
",I,A
1634,"describer: spy
",A,A
1635,"describer: shadow lightning bolt
",L,D
1636,"describer: seal
",G,H
1637,"describer: indiana diamond
",H,A
1638,"describer: flat top state diamond
",J,K
1639,"describer: sitting grad
",F,B
1640,"describer: preacher
",C,E
1641,"describer: mouse
",B,E
1642,"describer: grad lectern
",D,B
1643,"describer: dog ball
describer: diamond on nose dog on hind legs
",K,B
1644,"describer: rabbit ears
",E,E
1645,"describer: indiana
",H,A
1646,"describer: shadow lightning
",L,D
1647,"describer: sitting grad
describer: grad
",F,B
1648,"describer: dog and ball -
",K,B
1649,"describer: seal
",G,H
1650,"describer: flat top diamond
",J,J
1651,"describer: skate
",I,A
1652,"describer: rabbit ears
",E,E
1653,"describer: grad lectern
",D,B
1654,"describer: preacher
",C,E
1655,"describer: mouse
",B,E
1656,"describer: you did awesome!
describer: spy
",A,K
7102,"matcher: hello! :-)
describer: ok, so a diamond for the head and a full body with the point towards the right?
describer: hello there
describer: this moight be tough, but i will try my best
matcher: okay so like if the picture had  'hands' they would be pointing to the right?
describer: point is at the bottom
describer: no hands
describer: almost looks like they are sitting
matcher: so the bottom part of the picture is pointing right and the rest of the body is straight?
describer: yes, i think
",H,B
7103,"describer: awesome job
matcher: wohoo
describer: ok, diamond is on the left side. looks like two hands on the right one on top and the other lower. the body all the way to the left
",G,B
7104,"describer: yes
describer: looks like he is standing on one leg
",I,B
7105,"describer: straight out behind
describer: sorry
describer: standing on one leg. diamond on the back
describer: beak in the front
",A,H
7106,"describer: sitting with leg out,  bent a bit
matcher: no arms out?
describer: no arms
",F,B
7107,"describer: arms raised like a ghost
",C,C
7108,"describer: diamond as head with point on top. almost a full rectangle as a body, but an indent on the bottom pointing in
describer: top as a point going out on the right side
",J,B
7109,"describer: ha, these are hard to describe!
matcher: yah but you are doing good
describer: two triangles on top of a square for head
",E,J
7110,"describer: thanks
describer: zig zag body diamond on top
describer: looks like an s
",L,K
7111,"describer: looks like a priest in a robe
describer: hands pointing left
matcher: like he is standing? with feet and hands pointing left?
describer: yes
",D,B
7112,"describer: square and triangle on top
describer: small triangle on the bottom left
matcher: does it look like someone kneeling with their arms stretched out?
describer: not really
describer: you can see a small triangle on the left hand side on the bottom of the figure
",B,F
7113,"describer: looks like someone praying
describer: not the s shaped one
",K,B
7114,"describer: someone sitting with their knees up
",F,B
7115,"describer: standing on one foot with the other pointed out towards the right
",I,A
7116,"describer: looks like a small mountain and a large one with a square and 2 triangles on top
",E,F
6073,"matcher: howdy
",H,A
7372,"matcher: hi
",B,A
5961,"describer: hello there.  so, the image you'll want to select it looks almost like a person kneeling on the ground.
",B,B
5962,"describer: this one is standing on one leg, with one leg out, almost like an elephant head.
describer: the head looks like an elephant that is.
",A,B
5963,"matcher: got one!
describer: this one looks like it's laying in bed, with like half a blanket on them, the rest maybe cut by scissors.
describer: haha, yup!
describer: this is a very rough one to describe .
matcher: the one with a triangle on the back?
describer: i don't think so.  the head is right in the middle of it, if the entire shape was filled in, it'd look like they were in a bed.
matcher: count how many points are on it
matcher: 9?
describer: i think so - just go with your gut, this one is rough for me.
",J,F
5964,"describer: ok, this is the tallest one kneeling down with their arms out it looks like.
",K,B
5965,"describer: this one looks like a person flying.
",C,C
5966,"describer: ok, not the kneeling one from last time, but the other one kneeling that's tall.
",L,B
5967,"describer: the one that looks like the trix rabbit ears.  the one you thought it was when i gave that horrible bed description.
",E,C
5968,"describer: ok, pretty much completely shapeless person.
matcher: the one with the diamond on top pointing up?
describer: yeah
",H,J
5969,"describer: bah, i'm no good at this.
matcher: it's hard
describer: ok, so...this one is the other one with odd ears, not the previous.
describer: almost like a person laying back
describer: there's a square on one side, and an odd shape on the other side.
matcher: is the square pointing right and slightly to the bottom?
describer: angled downward.  it isn't the one that looks like the guy is standing up.
",G,F
5970,"matcher: i should have went with my gut on that one
describer: haha, just do that from now on, this is rough.
describer: ok, so this pretty much looks like a guy sitting, his legs angled a little upward, his head looking down.
",F,B
5971,"describer: balancing on one leg, one foot behind him like he's throwing a kick
matcher: the one with the two triangles pointing to the left?
describer: yup.
",I,C
5972,"describer: ok, this looks like a person with their arms held out.  doesn't look like either of the kneelers that you selected before.  but, same general position.
describer: if that makes sense.
",D,A
5973,"describer: ok, this is the one that looks the most like a kneeling person with their arms out.
",K,B
5974,"describer: we'll get there eventually haha.
matcher: they're all so similar
describer: yup, it's no big deal - we'll get what we get.
describer: ok, so....this looks like the one you selected last time, except instead of kneeling, they're kinda talller.
",D,B
5975,"describer: i'mma call that one dumbo from now on.
describer: the one you selected
matcher: nan
describer: this one is the one that looks like a person flying
",C,D
5976,"describer: ok....this is the one i struggled to describe the last time haha
describer: uh.  there's a diamond for a head.  no other feature you can really make out.
",J,J
5977,"matcher: did you see the one i clicked on?
matcher: we need to refer to that one as a car seat
describer: perfect.
describer: ok, this is the one that is leaning back on a triangle, the triangle is pointed downwards.
describer: it has two weird shaped ears.
",G,B
5978,"describer: ok.  this one looks like they're kneeling with their arms out, the shape is almost a lightning bolt.
",L,B
5979,"describer: ok that one is lightning bolt from now on
matcher: yep
describer: ok, now this guy looks like he's doing a karate kick.
describer: two triangles aiming to the left
matcher: the one with slanted square shape?
",I,A
5980,"describer: ok that one is karate kid
describer: this one is car seat.
matcher: nan
",H,D
5981,"describer: this one is dumbo
matcher: wait i forgot which was dumb let me think a sec
describer: looks like they're balanced on one leg, the other leg off the ground, a square to the right of their head
",A,A
5982,"describer: ok.  so, their body looks kind of like a disconnected triangle, and they're kneeling.
describer: there is a triangle on the left, and a triangle on the right, that aren't connected.
",B,B
5983,"matcher: that one looks like someone looking up to sky
describer: this looks like a person sitting down, their knees bent, laid back.
describer: ok, we'll call that one sky.  i think thats all the nicknames we shoudl use though, hard to remember them all haha
",F,B
5984,"describer: the one with the trix rabbit ears looking down.
",E,C
5985,"matcher: call him trix
describer: there ya go
describer: the one with their arms out that isn't kneeling.
",D,C
5986,"describer: car seat
matcher: that one looks like a statue
matcher: lets call it statue
",H,B
5987,"describer: the one you selected i think we said was lightning bolt
describer: this one is karate kid.
",I,D
5988,"describer: trix
",E,E
5989,"describer: god, i hate this one.  we're definitely nicknaming this one if you get it.
describer: it looks like a piece missing, and if you connected it, it'd look like the person was in a bed.  only their head you can really make out.
",J,F
5990,"describer: ok, that one is bed .
matcher: nan
describer: this one is the one that looks the most like they're kneeling with their arms out.  the tallest.
",K,B
5991,"describer: that one is lightning bolt
matcher: those two are hardest
describer: this is sky
",G,K
5992,"matcher: rats
describer: the one that's laying back, knees up.
",F,B
5993,"describer: ok, this is lightning bolt.
",L,J
5994,"describer: the flying dude.
",C,C
5995,"describer: the one you got wrong when i said guy glancing at the sky.
",B,E
5996,"describer: dumbo
describer: pretty much the one with the weird head, balancing on one leg.
",A,A
5997,"describer: car seat
matcher: yeah i forgot for a sec
",H,B
5998,"describer: haha it's ok, if you're unsure, ill help jog the memory.
describer: dumbo again.
",A,F
5999,"describer: trix
",E,E
6000,"describer: flying dude
",C,C
6001,"describer: the guy reclining with knees up
",F,B
6002,"describer: ok, not lightning bolt, but the other one kneeling.
",K,B
6003,"describer: lightning bolt
",L,J
6004,"describer: the one you got wrong when i said sky glancer
describer: it looks like someone kneeling, their torso is like two triangles, not connected too tightly.
describer: the head balanced on the gap of the two triangles.
",B,E
6005,"matcher: crap
describer: the one you just got wrong haha
",G,E
6006,"matcher: nan
describer: no no, it was the opposite both times haha
matcher: it's been a long day
describer: haha it's ok, we're doing pretty good!
describer: karate kid
",I,A
6007,"describer: ok, not lightning bolt, or the other dude, but the one with their hands out.
",D,C
6008,"describer: bed
",J,F
6009,"describer: lightning bolt
matcher: i feel like im going to need a psychologist after this
",L,K
6010,"describer: haha, 'why were you referring to the ink blot as the trix rabbit?'
describer: karate kid this one
",I,D
6011,"describer: not lighting bolt, but the other kneeling
",K,B
6012,"describer: ok, the one that always gives us trouble.  sky glancer.
describer: he's leaning back on a triangle, with a square on the top left of his face.
",G,A
6013,"describer: very good.
describer: flying dude.
",C,C
6014,"describer: ok, the one we always get wrong when it comes to sky glancer.
describer: not sky glancer but the other fellow.
",B,B
6015,"describer: dumbo
",A,A
6016,"describer: car seat
",H,B
6017,"describer: bed
",J,F
6018,"describer: ok, not lighnting bolt or the other kneeling, but the other one with their hands out.
describer: same position just swapped, basically, not on their knees.
matcher: is that with the triangle on the back pointing the top left?
describer: doesn't look like anything on their back.
describer: you'd almost say they were standing if there weren't a triangle at the bottom of the image.
",D,C
6019,"describer: bah, that ones probably gonna stumble us for the rest.  but, we have a good system!
matcher: i think we always get that one wrong
describer: this one is the dude laying back with his knees up
",F,F
6020,"describer: trix
",E,E
6021,"describer: karate kid
",I,A
6022,"describer: ok, we get another shot at the one we always get wrong
describer: its in the same position as the two keneling with their arms outstretched
",D,G
6023,"describer: there we go.
describer: bed.
",J,F
6024,"describer: trix
",E,E
6025,"describer: dumbo
",A,A
6026,"describer: not lightning bolt, but kneeling down.
",K,B
6027,"describer: lightning bolt
",L,J
6028,"describer: guy with his knees up
",F,A
6029,"describer: the one we always get wrong for sky glancer.
",B,C
6030,"describer: on top of the two severed triangles
describer: bah, oh well.
describer: car seat.
matcher: i totally brain farted on that one
describer: haha it's ok.  i think we did really great, it was fun working with you!
",H,B
6031,"matcher: yes you as well!
describer: flying dude.
",C,C
6032,"describer: and, to close us out, they gotta give us sky glancer.
describer: dude leaning back on the triangle with the square on the top left.
describer: almost looks like he has a wizard hat on
matcher: he is like sitting on a triange pointing down?
describer: yeah
",G,E
6794,"matcher: hi
describer: man standing on one foot while raising his arms
describer: with 'loose sleeves'
",A,A
6795,"matcher: are you there?
describer: man standing holding a plate in front of him
",D,F
6796,"describer: man kneeling down fully, facing right
",K,B
6797,"describer: man kneeling down while raising both arms
describer: facing right
matcher: is one arm in front and one arm in back?
describer: yes
",B,B
6798,"describer: man sitting down on ground, facing left
matcher: are his knees bent?
matcher: ??
",F,B
6799,"matcher: is there a lag time?  it seems like a long time between when i select and you go on to the next one.
describer: weird one... looks like spread on floor and raising one arm
describer: kinda like wearing a dress
",G,B
6800,"describer: man with knees half bent, holding a plate
",L,B
6801,"describer: sitting down, almost facing camera
describer: like a legless man
",H,B
6802,"describer: standing one on leg, other leg lifted and pointing back
describer: he is facing left
",I,B
6803,"describer: raising arms in y shape, no legs
",C,C
6804,"describer: like man standing up, no arms and legs visible
",J,D
6805,"describer: bunny ears
",E,C
6806,"describer: ok?
matcher: i didn't get a message..sorry
matcher: repeat please
describer: bunny ears
matcher: i selected it and it said it was correct.  i'll do it again.
",E,C
6807,"describer: spreading arms in y
",C,C
6808,"describer: kneeling holding plate, facing right
",K,B
6809,"describer: only one with completely straight vertical line on left side
",J,D
6810,"describer: sitting down facing left
matcher: knees bent?
describer: yes
",F,B
6811,"describer: legless man
describer: sitting
describer: on ground
matcher: facing ?
describer: facing us almost
",H,B
6812,"describer: the weird one
matcher: they're all weird :d
describer: woman in dress spread on floor
",G,F
6813,"describer: kneeling down with arms raised to left and right
",B,B
6814,"matcher: sorry
describer: standing with plate, facing left
",D,B
6815,"describer: standing one one leg with head tilted back and to the right
matcher: arms out in front of him?
describer: yes
",A,C
6816,"describer: knees half bent
matcher: sitting or standing?
describer: like he is about to kneel down
",L,B
6817,"describer: standing one leg, other leg pointing to right
matcher: where are his arms?
matcher: or facing which direction?
describer: in front of him
",I,A
6818,"describer: kneeling with arms spread to left and right
",B,B
6819,"describer: kneeling down facing right
describer: holding plate in front
",K,B
6820,"describer: weird woman in dress with elbow raised
describer: (elbow on right)
matcher: i'm not seeing it.  sorry...anything else?
matcher: wait
matcher: got it
",G,B
6821,"matcher: crap!
matcher: i'm really sorry!
describer: standing on 1 leg both arms raised
",A,A
6822,"describer: legless man
describer: sitting facing us
",H,B
6823,"describer: straight line on left
",J,A
6824,"describer: stand on 1 leg, other leg points to right
",I,A
6825,"describer: standing facing left, holding plate
",D,B
6826,"describer: sitting on ground, knees bent
",F,B
6827,"describer: bunny ears
",E,C
6828,"describer: knees half bent
matcher: standing or sitting
describer: facing right
",L,B
6829,"describer: arms spread out in y shape
",C,C
6830,"describer: stand on 1 leg, other leg pointing to right
",I,A
6831,"describer: kneeling down arms spread to left and right
",B,B
6832,"describer: stand on 1 leg, raising both arms
describer: head tilted back to right
",A,B
6833,"describer: straight line on left
",J,A
6834,"describer: standing holding plate, facing left
",D,A
6835,"describer: legless man sits facing us
",H,F
6836,"describer: weird woman in dress elbow raised
",G,E
6837,"describer: kneeling facing right
describer: holding plate
",K,F
6838,"describer: sitting on ground with knees bent
",F,B
6839,"describer: knees half bent about to kneel
",L,B
6840,"describer: arms in y shape
",C,C
6841,"describer: bunny ears
",E,C
6842,"describer: arms in y
",C,K
6843,"describer: kneeling facing right
",K,B
6844,"describer: about to kneel
",L,B
6845,"describer: woman with elbow raised
",G,A
6846,"describer: sitting knees bent
",F,B
6847,"describer: legless
describer: facing us
",H,D
6848,"describer: straight line on left
",J,A
6849,"describer: kneel arms spread left and right
",B,B
6850,"describer: stand 1 leg arms raised
",A,A
6851,"describer: stand 1 leg
describer: other leg point to right
",I,B
6852,"describer: standing facing left
describer: holding plate
",D,B
6853,"describer: bunny ears
",E,C
6854,"describer: stand 1 leg, other leg points right
",I,A
6855,"describer: stand facing left
describer: holding plate
",D,F
6856,"describer: woman with elbow raised
",G,A
6857,"describer: straight line on left
",J,A
6858,"describer: stand 1 leg, both arms raised
",A,A
6859,"describer: kneel facing right
describer: holds plate
",K,F
6860,"describer: y arms
",C,C
6861,"describer: kneel arms spread
",B,B
6862,"describer: sit knees bent
",F,B
6863,"describer: about to kneel
",L,B
6864,"describer: bunny
",E,A
6865,"describer: legless sits facing us
describer: nice playing with ya!
matcher: same here!  thanks!
",H,B
5000,"matcher: is there a triangle on it?
",C,A
5001,"matcher: are there triangles on it?
describer: kinda
describer: theres a triangle sticking out to the right
describer: looks like a person with their knees bent to the right
",L,C
5002,"describer: looks like a person standing with something in their hands facing left
",D,A
5003,"describer: triangles on left and right and a tilted box on top
describer: looks kinda like someone is kneeling
",B,B
5004,"describer: this one kinda weird
describer: triangle on bottom and top right
describer: box on top like a head
describer: shaped like a 'J'
",G,B
5005,"describer: diamond for a head
describer: pointed triangles sticking right
describer: looks like someone kneeling again
",K,B
5006,"describer: not much sticking out, kinda looks like used tooth paste
",H,H
5007,"describer: looks like a guy facing left with a leg sticking up
",A,A
5008,"describer: resembles a bottle with a diamond shaped cap
describer: flat surface that the diamond is sitting on
",J,F
5009,"describer: hmm has kinda a t shape
describer: with lots going on the left side
describer: 2 triangles and a diamond on top
",I,I
5010,"describer: looks like a mountain side with a cube and 2 triangles on top
",E,F
5011,"describer: looks like a person sitting down with legs slightly bent
describer: like leaned up against a wall
",F,B
5012,"describer: 'J' shape again
",G,J
5013,"describer: person kneeling with 2 diamonds on top
",K,F
5014,"describer: weird t or y shape with triangles+diamond on left side
",I,C
5015,"describer: looks like a man with both arms raised into the air
describer: leaning left
",C,B
5016,"describer: mountain side with cube and triangles on top
",E,B
5017,"describer: man holding an object facing left
",D,A
5018,"describer: man with leg lifted in the air facing left
",A,A
5019,"describer: used toothpaste again
",H,F
5020,"describer: man on knees with triangles facing left and right
",B,B
5021,"describer: bent legs facing right with triangle sticking out
",L,B
5022,"describer: man sitting up against a wall
",F,B
5023,"describer: diamond on top a table or head
",J,J
5024,"describer: triangles facing left and right with diamond on top
",B,K
5025,"describer: two diamonds on top and 2 triangle sticking right
",K,K
5026,"describer: man holding an object to the left
",D,A
5027,"describer: diamond on top head/table
",J,J
5028,"describer: knees bent, triangle right, diamond top
",L,B
5029,"describer: diamond on top two triangles facing left
",I,K
5030,"describer: mountain side, diamond 2 triangles
",E,J
5031,"describer: man with hands in the air
",C,A
5032,"describer: man with a leg up
",A,A
5033,"describer: 'J' shape
",G,J
5034,"describer: man sitting against a wall
",F,B
5035,"describer: used toothpaste
",H,F
5036,"describer: diamond on top of 2 left triangles
",I,J
5037,"describer: diamond on top head/table
",J,J
5038,"describer: man with knees slighty bent
describer: triangle sticking out right
",L,B
5039,"describer: 'J' shape
",G,J
5040,"describer: man on knees arms sticking left and right
",B,B
5041,"describer: used toothpaste
",H,F
5042,"describer: man with arms in air
",C,A
5043,"describer: man sitting against wall
",F,B
5044,"describer: man on knees two diamonds on upper section
",K,B
5045,"describer: mountainside with cube plus 2 triangles
",E,B
5046,"describer: man with leg up
",A,A
5047,"describer: man with object facing left
describer: *facing
",D,A
5048,"describer: mountain side with cube plus 2 triangles
",E,B
5049,"describer: diamond on top 2 left triangles
",I,K
5050,"describer: man on knees, triangle arms facing both sides
",B,B
5051,"describer: used toothpaste
",H,F
5052,"describer: diamond on top head/table
",J,J
5053,"describer: man with leg up
",A,A
5054,"describer: man on knees with large triangle right
",K,B
5055,"describer: 'J' shape
",G,J
5056,"describer: man on knees with large triangle facing right
describer: same one you chose last time
matcher: with the flat bottom?
describer: yeah. it came up the choice before last
",L,B
5057,"describer: man sitting against a wall
",F,B
5058,"describer: man with arms up
",C,A
5059,"describer: man with object facing left
",D,A
5060,"describer: 'J' shape
",G,J
5061,"describer: man with arms in the air
",C,A
5062,"describer: man on knees, two triangles left, 1 right
",B,B
5063,"describer: mountain side, cube + 2 triangles
",E,B
5064,"describer: man with a leg up
",A,A
5065,"describer: man with object facing left
",D,A
5066,"describer: used toothpaste
",H,F
5067,"describer: man on knees with 2 triangles on top
describer: *diamond sorry
",K,B
5068,"describer: man sitting against a wall
",F,B
5069,"describer: man with knees slightly bent
describer: flat bottom
",L,B
5070,"describer: diamond on top 2 triangles facing left
",I,K
5071,"describer: diamond on top head/table
",J,J
1801,"describer: hi
matcher: hi
describer: the object looks like it is standing on one foot with the leg in the air backwards
",I,B
1802,"describer: the object has a diamond on top and the left is a straight box with three points to the right
",J,A
1803,"describer: the object has a diamond on top and the middle looks like a house
",H,J
1804,"matcher: finally
describer: nan
describer: diamond on top the object is sitting down with feet to the left
",F,B
1805,"describer: diamond on top straight part is on right side standing position with feet on ground facing left direction
",D,K
1806,"describer: diamond on top both hands are outstretched in air
",C,K
1807,"describer: object is sitting down like it's leaning back. the diamond is on left side with two triangles one in air the other on floor
",G,B
1808,"describer: square and one triangle are leaning towards the right
describer: both objects are touching
",B,B
1809,"describer: i have no idea how to explain this one . diamond is on top touching triangle
describer: and it sitting on top of another object
",K,J
1810,"describer: two triangles are touching box
",E,J
1811,"describer: diamond is touching triangle that looks like it is kneeling but the legs aren't all the way on the ground
",L,B
1812,"describer: box is to the right of the object that is standing up on one food with the other foot in air
",A,B
1813,"describer: same as last picture one foot in air
",A,A
1814,"describer: one foot in air but not same as last picture
",I,C
1815,"describer: object is kneeling down
",K,B
1816,"matcher: i'll remember the 'kneeling' down picture next time you use that clue
describer: one box touching triangle to the right
",B,C
1817,"describer: ok cool
describer: sitting down relaxing
describer: facing left
",F,B
1818,"describer: both hands in air
",C,C
1819,"describer: leaning back on right hand
",G,B
1820,"describer: sitting down facing right
",E,B
1821,"describer: diamond on top of triangle facing right
",H,J
1822,"describer: left side is straight. one diamond on top of object
",J,J
1823,"describer: object is kneeling down but choose the one you chose last time
",L,B
1824,"describer: object has straight side on the right and diamond on top
",D,K
1825,"describer: object is kneeling down don't choose the one you chose last time
",L,B
1826,"describer: object is kneeling down. but don't choose the one you just chose
",K,B
1827,"describer: straight side on left diamond on top
",J,J
1828,"describer: foot kicked out to left side in air
",I,A
1829,"describer: both hands in air
",C,C
1830,"describer: sitting down facing the left
",F,B
1831,"describer: leaning back on left hand sitting down
describer: i mean on right hand
",G,B
1832,"describer: standing up one foot in the air facing the left
",A,A
1833,"describer: sitting down facing right two triangles in square
",E,B
1834,"describer: one diamond into triangle facing right
",H,J
1835,"describer: looks like a pinwheel facing the right sitting on floor
",B,C
1836,"describer: facing left looks like it's holding something in hand
",D,B
1837,"describer: facing left with something in hands standing up
",D,A
1838,"describer: sitting down leaning back on right hand. facing left
",G,B
1839,"describer: both hands in air
",C,C
1840,"describer: one foot in air facing left side
",A,A
1841,"describer: choose the same one you just picked
",I,K
1842,"describer: left side is straight diamond on top
",J,J
1843,"describer: kneeling down facing right side
",L,B
1844,"describer: diamond touching triangle looks like a pinwheel
",B,K
1845,"describer: kneeling down facing the right side with legs on ground
matcher: is the bottom part a rhombus or some weird triangle shape
describer: weird shape
",K,F
1846,"matcher: for that one next time, say weird shape kneeling and i'll know what you mean :)
describer: cool :)
describer: triangle touching house
describer: diamond touching house
",H,B
1847,"describer: pinwheel at top the smaller pinwheel
",E,J
1848,"describer: sitting down facing left
",F,B
1849,"describer: facing left with right foot in air
matcher: are both arms outstretched?
describer: no
",A,B
1850,"describer: both arms in air
",C,C
1851,"describer: sitting down facing left
",F,B
1852,"describer: large pinwheel
",B,G
1853,"describer: diamond on top left straight side
",J,J
1854,"describer: facing left with something in hands
",D,C
1855,"describer: sitting down leaning back on right hand
",G,B
1856,"describer: kneeling down weird shape
",K,B
1857,"describer: kneeling down
",L,B
1858,"describer: diamond on house
",H,J
1859,"describer: foot in air something in hands
matcher: are the arms outstretched?
describer: yes
",I,C
1860,"describer: small pinwheel
",E,K
1861,"describer: one foot outstretched hands
",I,A
1862,"describer: one foot no hands
",A,D
1863,"describer: diamond on top straight side on right
",D,J
1864,"describer: large pinwheel
",B,G
1865,"describer: both hands in air
",C,C
1866,"describer: kneeling
",L,B
1867,"describer: sitting down facing left
",F,B
1868,"describer: small pinwheel
",E,K
1869,"describer: diamond on house
",H,J
1870,"describer: facing left leaning back on right hand
describer: sitting
",G,B
1871,"describer: diamond on top straight side on left
",J,J
1872,"matcher: , we did it, nice working with you :d
describer: last one good job
describer: kneeling weird job
",K,B
433,"describer: diamond on a self
",J,J
434,"describer: man lying down
",F,F
435,"describer: woman in dress
",G,B
436,"describer: standing on one leg
",I,A
437,"describer: sitting with arms wide
",B,B
438,"describer: sitting bunny rabbit
",E,B
439,"describer: standing and pointing ,one way
",D,A
440,"describer: 'pick the last one you picked
matcher: i have already forgotten what the last one was, beyond standing and pointing and i was not right. the one kind of pointing up i think i chose?
describer: squatting and pointing one way
",L,B
441,"describer: pointed nose and kicking a rock
",A,A
442,"describer: kneeling and praying
",K,B
443,"describer: man with no arms and legs
",H,H
444,"describer: flying person
",C,C
445,"describer: bum sitting against the wall
",F,F
446,"describer: rabbit ears ,sitting
",E,E
447,"describer: squatting and pointing right
",L,B
448,"describer: diamond on a pedestal
",J,J
449,"describer: arms wide and kneeling
",B,B
450,"describer: flying again
",C,C
451,"describer: woman in dress dancing salsa
",G,B
452,"describer: standing and pointing left
",D,A
453,"describer: standing on one leg
",I,A
454,"describer: kneeling and praying
",K,B
455,"describer: no arm and no legs
",H,H
456,"describer: pointed nose and kicking rock
",A,A
457,"describer: diamond on a pedestal
",J,J
458,"describer: kneeling and praying
",K,B
459,"describer: woman in dress dancing salsa
",G,B
460,"describer: arms wide kneeling
",B,B
461,"describer: bunny rabbit again
",E,A
462,"describer: bum against the wall
",F,B
463,"describer: standing on one leg
",I,A
464,"describer: standing and pointing left
",D,A
465,"describer: pointed nose, kicking rock
",A,A
466,"describer: no arms and no legs
",H,H
467,"describer: squatting ,pointed right
",L,B
468,"describer: flying guy
",C,C
469,"describer: salsa woman
",G,B
470,"describer: kneeling and praying
",K,B
471,"describer: on one leg guy
",I,A
472,"describer: squatting pointed right
",L,B
473,"describer: bum against wall
",F,B
474,"describer: point nose, rock kicker
",A,A
475,"describer: arms wide
",B,C
476,"describer: rabbit ears
",E,E
477,"describer: rabbit ears
",D,E
478,"describer: flying
",C,C
479,"describer: no arms and no legs
",H,H
480,"describer: diamond on pedestal
",J,J
481,"describer: bum
",F,E
482,"describer: squatting pointed right
",L,B
483,"describer: salsa woman
",G,B
484,"describer: kneeling and praying
",K,B
485,"describer: arms wide
",B,C
486,"describer: standing pointed left
",D,A
487,"describer: diamond on pedestal
",J,J
488,"describer: no arms or legs
",H,H
489,"describer: rabbit ears
",E,E
490,"describer: on one leg
",I,A
491,"describer: pointed nose rock kicker
",A,A
492,"describer: flying
",C,C
493,"describer: kneel and pray
",K,B
494,"describer: diamond, pedestal
",J,J
495,"describer: standing, pointed left
",D,A
496,"describer: arms wide
",B,C
497,"describer: leg
",F,A
498,"describer: salsa woman
",G,B
499,"describer: one leg
",I,D
500,"describer: flying
",C,C
501,"describer: squatting ,pointed right
",L,B
502,"describer: pointed nose
",A,D
503,"describer: rabbit ears
",E,E
504,"describer: no arms or legs
",H,H
3274,"describer: hi there
matcher: hey
matcher: what am i looking for here?
describer: click on the one that looks like a tail is pointing to the right
describer: and is standing
",I,A
3275,"matcher: nice. we got it.
describer: nice
describer: this one looks like something standing with one foot kicking out to the left of the other leg
describer: the 'head' be tilted towards the top right corner
matcher: are both 'feet' pointed in the same direction?
describer: yes
",A,A
3276,"describer: this one looks like something sitting int he bottom left corner and it has bunny ears
matcher: it's facing to the right?
describer: yes
",E,B
