user_message,label,model_choice
"describer: rabbit ears
",E,K
"describer: grad lectern
",D,
"describer: preacher
",C,K
"describer: mouse
",B,A
"describer: you did awesome!
describer: spy
",A,K
"matcher: hello! :-)
describer: ok, so a diamond for the head and a full body with the point towards the right?
describer: hello there
describer: this moight be tough, but i will try my best
matcher: okay so like if the picture had  'hands' they would be pointing to the right?
describer: point is at the bottom
describer: no hands
describer: almost looks like they are sitting
matcher: so the bottom part of the picture is pointing right and the rest of the body is straight?
describer: yes, i think
",H,G
"describer: awesome job
matcher: wohoo
describer: ok, diamond is on the left side. looks like two hands on the right one on top and the other lower. the body all the way to the left
",G,
"describer: yes
describer: looks like he is standing on one leg
",I,A
"describer: straight out behind
describer: sorry
describer: standing on one leg. diamond on the back
describer: beak in the front
",A,
<<<<<<< Updated upstream
"describer: sitting with leg out,  bent a bit
matcher: no arms out?
describer: no arms
",F,H
"describer: arms raised like a ghost
",C,C
"describer: diamond as head with point on top. almost a full rectangle as a body, but an indent on the bottom pointing in
describer: top as a point going out on the right side
",J,G
"describer: ha, these are hard to describe!
matcher: yah but you are doing good
describer: two triangles on top of a square for head
",E,K
=======
"describer: head
describer: with triangle
",B,F
"describer: triangle in back of head lady with hands out front, sort of on ground
",B,F
"describer: person kneeling facing right with hands raised near head
",B,F
"describer: guy with hands out
",D,K
"describer: person kneeling with bowl facing right
",K,J
"describer: the right carrying thing that is a parrellogram at the bottom
describer: triangle for neck
",L,
"describer: there will be repeats so it'll go faster soon
matcher: rabbit, high heels, preacher, sky
describer: one leg standing with a leg behind him again, arms forward
describer: yes
",I,J
"describer: diamond head rectangle like body
",J,K
"describer: kneeling with hands in front
describer: back to your left
",K,H
"describer: triangle hanging off of head
",B,K
"describer: candle straight back
",J,A
"describer: a person looks like they are dancing a taking a long step
matcher: is it like a walking bird holding a flag?
matcher: and facing down?
describer: haha don't see that. i'll try again
describer: diamond head, triangle to the right of the diamond, triangle bottom right
describer: rhombus bottom left
",G,K
"describer: squatting monk to the right
",L,G
"describer: facing left with something in hands standing up
",D,I
"describer: graduate
",D,G
"describer: zig zag body. facing right, diamond head on top
",L,J
"describer: weird stretched out guy
",G,K
"describer: leg raised in back one foot on ground
describer: two hands in front
",I,K
"describer: sleeping bag with a head
describer: also, are you lagging too or just me?
matcher: i don't think so.
",H,
"describer: server
",D,K
"describer: praying guy
",K,L
"describer: facing left, standing, with plate, flat back
describer: standing
",D,I
"describer: knees bent, triangle right, diamond top
",L,F
"describer: this guy has one leg kicked up to the left.  he has a beak on the left, and a normal diamond head on the right
",A,F
"describer: minnesota
",J,K
"describer: squatting
",L,F
"describer: cayman with triangle butt
",K,C
>>>>>>> Stashed changes
"describer: thanks
describer: zig zag body diamond on top
describer: looks like an s
",L,
"describer: looks like a priest in a robe
describer: hands pointing left
matcher: like he is standing? with feet and hands pointing left?
describer: yes
",D,
"describer: square and triangle on top
describer: small triangle on the bottom left
matcher: does it look like someone kneeling with their arms stretched out?
describer: not really
describer: you can see a small triangle on the left hand side on the bottom of the figure
",B,F
"describer: looks like someone praying
describer: not the s shaped one
",K,L
"describer: someone sitting with their knees up
",F,F
"describer: standing on one foot with the other pointed out towards the right
",I,A
"describer: looks like a small mountain and a large one with a square and 2 triangles on top
",E,K
"matcher: howdy
",H,I
"matcher: hi
",B,
"describer: hello there.  so, the image you'll want to select it looks almost like a person kneeling on the ground.
",B,F
"describer: this one is standing on one leg, with one leg out, almost like an elephant head.
describer: the head looks like an elephant that is.
",A,K
"matcher: got one!
describer: this one looks like it's laying in bed, with like half a blanket on them, the rest maybe cut by scissors.
describer: haha, yup!
describer: this is a very rough one to describe .
matcher: the one with a triangle on the back?
describer: i don't think so.  the head is right in the middle of it, if the entire shape was filled in, it'd look like they were in a bed.
matcher: count how many points are on it
matcher: 9?
describer: i think so - just go with your gut, this one is rough for me.
",J,F
"describer: ok, this is the tallest one kneeling down with their arms out it looks like.
",K,F
"describer: this one looks like a person flying.
",C,C
"describer: ok, not the kneeling one from last time, but the other one kneeling that's tall.
",L,F
"describer: the one that looks like the trix rabbit ears.  the one you thought it was when i gave that horrible bed description.
",E,K
"describer: ok, pretty much completely shapeless person.
matcher: the one with the diamond on top pointing up?
describer: yeah
",H,I
"describer: bah, i'm no good at this.
matcher: it's hard
describer: ok, so...this one is the other one with odd ears, not the previous.
describer: almost like a person laying back
describer: there's a square on one side, and an odd shape on the other side.
matcher: is the square pointing right and slightly to the bottom?
describer: angled downward.  it isn't the one that looks like the guy is standing up.
",G,
"matcher: i should have went with my gut on that one
describer: haha, just do that from now on, this is rough.
describer: ok, so this pretty much looks like a guy sitting, his legs angled a little upward, his head looking down.
",F,
"describer: balancing on one leg, one foot behind him like he's throwing a kick
matcher: the one with the two triangles pointing to the left?
describer: yup.
",I,A
"describer: ok, this looks like a person with their arms held out.  doesn't look like either of the kneelers that you selected before.  but, same general position.
describer: if that makes sense.
",D,F
"describer: ok, this is the one that looks the most like a kneeling person with their arms out.
",K,F
"describer: we'll get there eventually haha.
matcher: they're all so similar
describer: yup, it's no big deal - we'll get what we get.
describer: ok, so....this looks like the one you selected last time, except instead of kneeling, they're kinda talller.
",D,
"describer: i'mma call that one dumbo from now on.
describer: the one you selected
matcher: nan
describer: this one is the one that looks like a person flying
",C,
"describer: ok....this is the one i struggled to describe the last time haha
describer: uh.  there's a diamond for a head.  no other feature you can really make out.
",J,K
"matcher: did you see the one i clicked on?
matcher: we need to refer to that one as a car seat
describer: perfect.
describer: ok, this is the one that is leaning back on a triangle, the triangle is pointed downwards.
describer: it has two weird shaped ears.
",G,C
"describer: ok.  this one looks like they're kneeling with their arms out, the shape is almost a lightning bolt.
",L,K
"describer: ok that one is lightning bolt from now on
matcher: yep
describer: ok, now this guy looks like he's doing a karate kick.
describer: two triangles aiming to the left
matcher: the one with slanted square shape?
",I,L
"describer: ok that one is karate kid
describer: this one is car seat.
matcher: nan
",H,
"describer: this one is dumbo
matcher: wait i forgot which was dumb let me think a sec
describer: looks like they're balanced on one leg, the other leg off the ground, a square to the right of their head
",A,H
"describer: ok.  so, their body looks kind of like a disconnected triangle, and they're kneeling.
describer: there is a triangle on the left, and a triangle on the right, that aren't connected.
",B,F
"matcher: that one looks like someone looking up to sky
describer: this looks like a person sitting down, their knees bent, laid back.
describer: ok, we'll call that one sky.  i think thats all the nicknames we shoudl use though, hard to remember them all haha
",F,G
"describer: the one with the trix rabbit ears looking down.
",E,L
"matcher: call him trix
describer: there ya go
describer: the one with their arms out that isn't kneeling.
",D,
"describer: car seat
matcher: that one looks like a statue
matcher: lets call it statue
",H,
"describer: the one you selected i think we said was lightning bolt
describer: this one is karate kid.
",I,K
"describer: trix
",E,K
"describer: god, i hate this one.  we're definitely nicknaming this one if you get it.
describer: it looks like a piece missing, and if you connected it, it'd look like the person was in a bed.  only their head you can really make out.
",J,
"describer: ok, that one is bed .
matcher: nan
describer: this one is the one that looks the most like they're kneeling with their arms out.  the tallest.
",K,
"describer: that one is lightning bolt
matcher: those two are hardest
describer: this is sky
",G,K
"matcher: rats
describer: the one that's laying back, knees up.
",F,F
"describer: ok, this is lightning bolt.
",L,G
"describer: the flying dude.
",C,K
"describer: the one you got wrong when i said guy glancing at the sky.
",B,A
"describer: dumbo
describer: pretty much the one with the weird head, balancing on one leg.
",A,
"describer: car seat
matcher: yeah i forgot for a sec
",H,
"describer: haha it's ok, if you're unsure, ill help jog the memory.
describer: dumbo again.
",A,D
"describer: trix
",E,K
"describer: flying dude
",C,K
"describer: the guy reclining with knees up
",F,F
"describer: ok, not lightning bolt, but the other one kneeling.
",K,F
"describer: lightning bolt
",L,K
"describer: the one you got wrong when i said sky glancer
describer: it looks like someone kneeling, their torso is like two triangles, not connected too tightly.
describer: the head balanced on the gap of the two triangles.
",B,
"matcher: crap
describer: the one you just got wrong haha
",G,
"matcher: nan
describer: no no, it was the opposite both times haha
matcher: it's been a long day
describer: haha it's ok, we're doing pretty good!
describer: karate kid
",I,
"describer: ok, not lightning bolt, or the other dude, but the one with their hands out.
",D,C
"describer: bed
",J,B
"describer: lightning bolt
matcher: i feel like im going to need a psychologist after this
",L,I
"describer: haha, 'why were you referring to the ink blot as the trix rabbit?'
describer: karate kid this one
",I,
"describer: not lighting bolt, but the other kneeling
",K,F
"describer: ok, the one that always gives us trouble.  sky glancer.
describer: he's leaning back on a triangle, with a square on the top left of his face.
",G,K
"describer: very good.
describer: flying dude.
",C,C
"describer: ok, the one we always get wrong when it comes to sky glancer.
describer: not sky glancer but the other fellow.
",B,K
"describer: dumbo
",A,K
"describer: car seat
",H,K
"describer: bed
",J,B
"describer: ok, not lighnting bolt or the other kneeling, but the other one with their hands out.
describer: same position just swapped, basically, not on their knees.
matcher: is that with the triangle on the back pointing the top left?
describer: doesn't look like anything on their back.
describer: you'd almost say they were standing if there weren't a triangle at the bottom of the image.
",D,K
"describer: bah, that ones probably gonna stumble us for the rest.  but, we have a good system!
matcher: i think we always get that one wrong
describer: this one is the dude laying back with his knees up
",F,F
"describer: trix
",E,K
"describer: karate kid
",I,
"describer: ok, we get another shot at the one we always get wrong
describer: its in the same position as the two keneling with their arms outstretched
",D,K
"describer: there we go.
describer: bed.
",J,
"describer: trix
",E,K
"describer: dumbo
",A,K
"describer: not lightning bolt, but kneeling down.
",K,F
"describer: lightning bolt
",L,K
"describer: guy with his knees up
",F,F
"describer: the one we always get wrong for sky glancer.
",B,K
"describer: on top of the two severed triangles
describer: bah, oh well.
describer: car seat.
matcher: i totally brain farted on that one
describer: haha it's ok.  i think we did really great, it was fun working with you!
",H,K
"matcher: yes you as well!
describer: flying dude.
",C,
"describer: and, to close us out, they gotta give us sky glancer.
describer: dude leaning back on the triangle with the square on the top left.
describer: almost looks like he has a wizard hat on
matcher: he is like sitting on a triange pointing down?
describer: yeah
",G,
"matcher: hi
describer: man standing on one foot while raising his arms
describer: with 'loose sleeves'
",A,
"matcher: are you there?
describer: man standing holding a plate in front of him
",D,K
"describer: man kneeling down fully, facing right
",K,F
"describer: man kneeling down while raising both arms
describer: facing right
matcher: is one arm in front and one arm in back?
describer: yes
",B,
"describer: man sitting down on ground, facing left
matcher: are his knees bent?
matcher: ??
",F,B
"matcher: is there a lag time?  it seems like a long time between when i select and you go on to the next one.
describer: weird one... looks like spread on floor and raising one arm
describer: kinda like wearing a dress
",G,
"describer: man with knees half bent, holding a plate
",L,K
"describer: sitting down, almost facing camera
describer: like a legless man
",H,F
"describer: standing one on leg, other leg lifted and pointing back
describer: he is facing left
",I,A
"describer: raising arms in y shape, no legs
",C,C
"describer: like man standing up, no arms and legs visible
",J,I
"describer: bunny ears
",E,K
"describer: ok?
matcher: i didn't get a message..sorry
matcher: repeat please
describer: bunny ears
matcher: i selected it and it said it was correct.  i'll do it again.
",E,K
"describer: spreading arms in y
",C,
"describer: kneeling holding plate, facing right
",K,F
"describer: only one with completely straight vertical line on left side
",J,A
"describer: sitting down facing left
matcher: knees bent?
describer: yes
",F,F
"describer: legless man
describer: sitting
describer: on ground
matcher: facing ?
describer: facing us almost
",H,F
"describer: the weird one
matcher: they're all weird :d
describer: woman in dress spread on floor
",G,
"describer: kneeling down with arms raised to left and right
",B,F
"matcher: sorry
describer: standing with plate, facing left
",D,A
"describer: standing one one leg with head tilted back and to the right
matcher: arms out in front of him?
describer: yes
",A,L
"describer: knees half bent
matcher: sitting or standing?
describer: like he is about to kneel down
",L,H
"describer: standing one leg, other leg pointing to right
matcher: where are his arms?
matcher: or facing which direction?
describer: in front of him
",I,
"describer: kneeling with arms spread to left and right
",B,F
"describer: kneeling down facing right
describer: holding plate in front
",K,F
"describer: weird woman in dress with elbow raised
describer: (elbow on right)
matcher: i'm not seeing it.  sorry...anything else?
matcher: wait
matcher: got it
",G,
"matcher: crap!
matcher: i'm really sorry!
describer: standing on 1 leg both arms raised
",A,
"describer: legless man
describer: sitting facing us
",H,F
"describer: straight line on left
",J,A
"describer: stand on 1 leg, other leg points to right
",I,A
"describer: standing facing left, holding plate
",D,A
"describer: sitting on ground, knees bent
",F,F
"describer: bunny ears
",E,K
"describer: knees half bent
matcher: standing or sitting
describer: facing right
",L,I
"describer: arms spread out in y shape
",C,G
"describer: stand on 1 leg, other leg pointing to right
",I,A
"describer: kneeling down arms spread to left and right
",B,K
"describer: stand on 1 leg, raising both arms
describer: head tilted back to right
",A,K
"describer: straight line on left
",J,A
"describer: standing holding plate, facing left
",D,A
"describer: legless man sits facing us
",H,F
"describer: weird woman in dress elbow raised
",G,F
"describer: kneeling facing right
describer: holding plate
",K,
"describer: sitting on ground with knees bent
",F,Image C
"describer: knees half bent about to kneel
",L,Image F
"describer: arms in y shape
",C,G
"describer: bunny ears
",E,K
"describer: arms in y
",C,K
"describer: kneeling facing right
",K,F
"describer: about to kneel
",L,F
"describer: woman with elbow raised
",G,L
"describer: sitting knees bent
",F,F
"describer: legless
describer: facing us
",H,F
"describer: straight line on left
",J,A
"describer: kneel arms spread left and right
",B,F
"describer: stand 1 leg arms raised
",A,A
"describer: stand 1 leg
describer: other leg point to right
",I,I
"describer: standing facing left
describer: holding plate
",D,"F, I, J, L"
"describer: bunny ears
",E,K
"describer: stand 1 leg, other leg points right
",I,I
"describer: stand facing left
describer: holding plate
",D,I
"describer: woman with elbow raised
",G,L
"describer: straight line on left
",J,A
"describer: stand 1 leg, both arms raised
",A,A
"describer: kneel facing right
describer: holds plate
",K,F
"describer: y arms
",C,K
"describer: kneel arms spread
",B,F
"describer: sit knees bent
",F,F
"describer: about to kneel
",L,F
"describer: bunny
",E,K
"describer: legless sits facing us
describer: nice playing with ya!
matcher: same here!  thanks!
",H,L
"matcher: is there a triangle on it?
",C,A
"matcher: are there triangles on it?
describer: kinda
describer: theres a triangle sticking out to the right
describer: looks like a person with their knees bent to the right
",L,
"describer: looks like a person standing with something in their hands facing left
",D,A
"describer: triangles on left and right and a tilted box on top
describer: looks kinda like someone is kneeling
",B,F
"describer: this one kinda weird
describer: triangle on bottom and top right
describer: box on top like a head
describer: shaped like a 'J'
",G,J
"describer: diamond for a head
describer: pointed triangles sticking right
describer: looks like someone kneeling again
",K,
"describer: not much sticking out, kinda looks like used tooth paste
",H,F
"describer: looks like a guy facing left with a leg sticking up
",A,J
"describer: resembles a bottle with a diamond shaped cap
describer: flat surface that the diamond is sitting on
",J,
"describer: hmm has kinda a t shape
describer: with lots going on the left side
describer: 2 triangles and a diamond on top
",I,I
"describer: looks like a mountain side with a cube and 2 triangles on top
",E,F
"describer: looks like a person sitting down with legs slightly bent
describer: like leaned up against a wall
",F,F
"describer: 'J' shape again
",G,J
"describer: person kneeling with 2 diamonds on top
",K,F
"describer: weird t or y shape with triangles+diamond on left side
",I,J
"describer: looks like a man with both arms raised into the air
describer: leaning left
",C,F
"describer: mountain side with cube and triangles on top
",E,G
"describer: man holding an object facing left
",D,A
"describer: man with leg lifted in the air facing left
",A,A
"describer: used toothpaste again
",H,K
"describer: man on knees with triangles facing left and right
",B,F
"describer: bent legs facing right with triangle sticking out
",L,J
"describer: man sitting up against a wall
",F,F
"describer: diamond on top a table or head
",J,K
"describer: triangles facing left and right with diamond on top
",B,I
"describer: two diamonds on top and 2 triangle sticking right
",K,K
"describer: man holding an object to the left
",D,Image J
"describer: diamond on top head/table
",J,I
"describer: knees bent, triangle right, diamond top
",L,F
"describer: diamond on top two triangles facing left
",I,F
"describer: mountain side, diamond 2 triangles
",E,F
"describer: man with hands in the air
",C,G
"describer: man with a leg up
",A,A
"describer: 'J' shape
",G,J
"describer: man sitting against a wall
",F,F
"describer: used toothpaste
",H,K
"describer: diamond on top of 2 left triangles
",I,F
"describer: diamond on top head/table
",J,I
"describer: man with knees slighty bent
describer: triangle sticking out right
",L,F
"describer: 'J' shape
",G,J
"describer: man on knees arms sticking left and right
",B,F
"describer: used toothpaste
",H,K
"describer: man with arms in air
",C,C
"describer: man sitting against wall
",F,G
"describer: man on knees two diamonds on upper section
",K,K
"describer: mountainside with cube plus 2 triangles
",E,F
"describer: man with leg up
",A,A
"describer: man with object facing left
describer: *facing
",D,E
"describer: mountain side with cube plus 2 triangles
",E,F
"describer: diamond on top 2 left triangles
",I,F
"describer: man on knees, triangle arms facing both sides
",B,F
"describer: used toothpaste
",H,K
"describer: diamond on top head/table
",J,I
"describer: man with leg up
",A,A
"describer: man on knees with large triangle right
",K,K
"describer: 'J' shape
",G,J
"describer: man on knees with large triangle facing right
describer: same one you chose last time
matcher: with the flat bottom?
describer: yeah. it came up the choice before last
",L,F
"describer: man sitting against a wall
",F,F
"describer: man with arms up
",C,C
"describer: man with object facing left
",D,I
"describer: 'J' shape
",G,J
"describer: man with arms in the air
",C,Image A
"describer: man on knees, two triangles left, 1 right
",B,A
"describer: mountain side, cube + 2 triangles
",E,F
"describer: man with a leg up
",A,A
"describer: man with object facing left
",D,I
"describer: used toothpaste
",H,K
"describer: man on knees with 2 triangles on top
describer: *diamond sorry
",K,K
"describer: man sitting against a wall
",F,F
"describer: man with knees slightly bent
describer: flat bottom
",L,K
"describer: diamond on top 2 triangles facing left
",I,I
"describer: diamond on top head/table
",J,I
"describer: hi
matcher: hi
describer: the object looks like it is standing on one foot with the leg in the air backwards
",I,
"describer: the object has a diamond on top and the left is a straight box with three points to the right
",J,J
"describer: the object has a diamond on top and the middle looks like a house
",H,F
"matcher: finally
describer: nan
describer: diamond on top the object is sitting down with feet to the left
",F,J
"describer: diamond on top straight part is on right side standing position with feet on ground facing left direction
",D,I
"describer: diamond on top both hands are outstretched in air
",C,A
"describer: object is sitting down like it's leaning back. the diamond is on left side with two triangles one in air the other on floor
",G,F
"describer: square and one triangle are leaning towards the right
describer: both objects are touching
",B,K
"describer: i have no idea how to explain this one . diamond is on top touching triangle
describer: and it sitting on top of another object
",K,K
"describer: two triangles are touching box
",E,K
"describer: diamond is touching triangle that looks like it is kneeling but the legs aren't all the way on the ground
",L,J
"describer: box is to the right of the object that is standing up on one food with the other foot in air
",A,A
"describer: same as last picture one foot in air
",A,"A, D, F, H, J, K, L"
"describer: one foot in air but not same as last picture
",I,A
"describer: object is kneeling down
",K,F
"matcher: i'll remember the 'kneeling' down picture next time you use that clue
describer: one box touching triangle to the right
",B,K
"describer: ok cool
describer: sitting down relaxing
describer: facing left
",F,F
"describer: both hands in air
",C,C
"describer: leaning back on right hand
",G,G
"describer: sitting down facing right
",E,F
"describer: diamond on top of triangle facing right
",H,G
"describer: left side is straight. one diamond on top of object
",J,J
"describer: object is kneeling down but choose the one you chose last time
",L,G
"describer: object has straight side on the right and diamond on top
",D,C
"describer: object is kneeling down don't choose the one you chose last time
",L,F
"describer: object is kneeling down. but don't choose the one you just chose
",K,L
"describer: straight side on left diamond on top
",J,A
"describer: foot kicked out to left side in air
",I,A
"describer: both hands in air
",C,C
"describer: sitting down facing the left
",F,F
"describer: leaning back on left hand sitting down
describer: i mean on right hand
",G,K
"describer: standing up one foot in the air facing the left
",A,A
"describer: sitting down facing right two triangles in square
",E,F
"describer: one diamond into triangle facing right
",H,G
"describer: looks like a pinwheel facing the right sitting on floor
",B,F
"describer: facing left looks like it's holding something in hand
",D,A
"describer: facing left with something in hands standing up
",D,Image I
"describer: sitting down leaning back on right hand. facing left
",G,F
"describer: both hands in air
",C,C
"describer: one foot in air facing left side
",A,A
"describer: choose the same one you just picked
",I,K
"describer: left side is straight diamond on top
",J,F
"describer: kneeling down facing right side
",L,
"describer: diamond touching triangle looks like a pinwheel
",B,F
"describer: kneeling down facing the right side with legs on ground
matcher: is the bottom part a rhombus or some weird triangle shape
describer: weird shape
",K,
"matcher: for that one next time, say weird shape kneeling and i'll know what you mean :)
describer: cool :)
describer: triangle touching house
describer: diamond touching house
",H,
"describer: pinwheel at top the smaller pinwheel
",E,H
"describer: sitting down facing left
",F,F
"describer: facing left with right foot in air
matcher: are both arms outstretched?
describer: no
",A,A
"describer: both arms in air
",C,C
"describer: sitting down facing left
",F,F
"describer: large pinwheel
",B,F
"describer: diamond on top left straight side
",J,I
"describer: facing left with something in hands
",D,A
"describer: sitting down leaning back on right hand
",G,F
"describer: kneeling down weird shape
",K,Image I
"describer: kneeling down
",L,F
"describer: diamond on house
",H,J
"describer: foot in air something in hands
matcher: are the arms outstretched?
describer: yes
",I,C
"describer: small pinwheel
",E,F
"describer: one foot outstretched hands
",I,A
"describer: one foot no hands
",A,A
"describer: diamond on top straight side on right
",D,I
"describer: large pinwheel
",B,F
"describer: both hands in air
",C,C
"describer: kneeling
",L,F
"describer: sitting down facing left
",F,F
"describer: small pinwheel
",E,F
"describer: diamond on house
",H,J
"describer: facing left leaning back on right hand
describer: sitting
",G,F
"describer: diamond on top straight side on left
",J,I
"matcher: , we did it, nice working with you :d
describer: last one good job
describer: kneeling weird job
",K,
"describer: diamond on a self
",J,J
"describer: man lying down
",F,F
"describer: woman in dress
",G,K
"describer: standing on one leg
",I,I
"describer: sitting with arms wide
",B,F
"describer: sitting bunny rabbit
",E,F
"describer: standing and pointing ,one way
",D,H
"describer: 'pick the last one you picked
matcher: i have already forgotten what the last one was, beyond standing and pointing and i was not right. the one kind of pointing up i think i chose?
describer: squatting and pointing one way
",L,F
"describer: pointed nose and kicking a rock
",A,A
"describer: kneeling and praying
",K,F
"describer: man with no arms and legs
",H,A
"describer: flying person
",C,C
"describer: bum sitting against the wall
",F,J
"describer: rabbit ears ,sitting
",E,F
"describer: squatting and pointing right
",L,None of the images directly match the description of squatting and pointing right.
"describer: diamond on a pedestal
",J,J
"describer: arms wide and kneeling
",B,Image J
"describer: flying again
",C,K
"describer: woman in dress dancing salsa
",G,K
"describer: standing and pointing left
",D,A
"describer: standing on one leg
",I,I
"describer: kneeling and praying
",K,F
"describer: no arm and no legs
",H,L
"describer: pointed nose and kicking rock
",A,
"describer: diamond on a pedestal
",J,J
"describer: kneeling and praying
",K,F
"describer: woman in dress dancing salsa
",G,K
"describer: arms wide kneeling
",B,G
"describer: bunny rabbit again
",E,K
"describer: bum against the wall
",F,J
"describer: standing on one leg
",I,I
"describer: standing and pointing left
",D,A
"describer: pointed nose, kicking rock
",A,A
"describer: no arms and no legs
",H,K
"describer: squatting ,pointed right
",L,
"describer: flying guy
",C,A
"describer: salsa woman
",G,K
"describer: kneeling and praying
",K,F
"describer: on one leg guy
",I,
"describer: squatting pointed right
",L,J
"describer: bum against wall
",F,J
"describer: point nose, rock kicker
",A,K
"describer: arms wide
",B,C
"describer: rabbit ears
",E,K
"describer: rabbit ears
",D,K
"describer: flying
",C,C
"describer: no arms and no legs
",H,K
"describer: diamond on pedestal
",J,J
"describer: bum
",F,J
"describer: squatting pointed right
",L,G
"describer: salsa woman
",G,K
"describer: kneeling and praying
",K,F
"describer: arms wide
",B,C
"describer: standing pointed left
",D,A
"describer: diamond on pedestal
",J,J
"describer: no arms or legs
",H,K
"describer: rabbit ears
",E,K
"describer: on one leg
",I,A
"describer: pointed nose rock kicker
",A,G
"describer: flying
",C,C
"describer: kneel and pray
",K,G
"describer: diamond, pedestal
",J,J
"describer: standing, pointed left
",D,A
"describer: arms wide
",B,C
"describer: leg
",F,A
"describer: salsa woman
",G,K
"describer: one leg
",I,I
"describer: flying
",C,C
"describer: squatting ,pointed right
",L,
"describer: pointed nose
",A,A
"describer: rabbit ears
",E,K
"describer: no arms or legs
",H,K
"describer: hi there
matcher: hey
matcher: what am i looking for here?
describer: click on the one that looks like a tail is pointing to the right
describer: and is standing
",I,L
"matcher: nice. we got it.
describer: nice
describer: this one looks like something standing with one foot kicking out to the left of the other leg
describer: the 'head' be tilted towards the top right corner
matcher: are both 'feet' pointed in the same direction?
describer: yes
",A,I
"describer: this one looks like something sitting int he bottom left corner and it has bunny ears
matcher: it's facing to the right?
describer: yes
",E,K
"describer: this one is kind of chunky and looks like someone kneeling
describer: the head is attached to another square similar to the head
matcher: with it's arms outstretched and facing to the right?
describer: the feet kind of look like they point up
describer: yes
",K,
"describer: this is another kneeling but the arms are pointed to the left and it has another triangle awkwardly attached on the right side of the head
matcher: looks kind of like a mouse?
describer: yes good call
",B,
"describer: this is a kneeling that is one block with no arms
describer: feet/knees pointing to the right
describer: kind of
",H,F
"describer: this one has it's arms wide open
matcher: like it's falling to the left?
describer: yes
",C,C
"describer: this one has its knees bent and arms out to the right
",L,G
"describer: this one is kind of like the rabbit but it is looking to the left and seems like it is reclining
matcher: does it have a triangle tail?
describer: yes
",G,F
"describer: this looks like someone standing and is kind of blocky
describer: looks like arms are out to the left
",D,C
"describer: this one has the head perfectly centered on a a square is body
describer: could be an upside down bird
",J,K
"describer: person laying/sitting with foot and leg out to the left
",F,F
"describer: arms spread out leaning left
",C,G
"describer: standing with arms to left very blocky
",D,A
"describer: bending knees arms to the right
",L,G
"describer: rabbit sitting down facing to the right
",E,L
"describer: person kneeling with up pointed feet and head connected to square
",K,F
"describer: blocky kneeling knees to right
",H,F
