trial_id,user_message,label,model_choice
6000,"describer: flying dude
",C,C
6001,"describer: the guy reclining with knees up
",F,F
6002,"describer: ok, not lightning bolt, but the other one kneeling.
",K,F
6003,"describer: lightning bolt
",L,D
6004,"describer: the one you got wrong when i said sky glancer
describer: it looks like someone kneeling, their torso is like two triangles, not connected too tightly.
describer: the head balanced on the gap of the two triangles.
",B,E
6005,"matcher: crap
describer: the one you just got wrong haha
",G,D
6006,"matcher: nan
describer: no no, it was the opposite both times haha
matcher: it's been a long day
describer: haha it's ok, we're doing pretty good!
describer: karate kid
",I,C
6007,"describer: ok, not lightning bolt, or the other dude, but the one with their hands out.
",D,C
6008,"describer: bed
",J,F
6009,"describer: lightning bolt
matcher: i feel like im going to need a psychologist after this
",L,D
6010,"describer: haha, 'why were you referring to the ink blot as the trix rabbit?'
describer: karate kid this one
",I,D
6011,"describer: not lighting bolt, but the other kneeling
",K,F
6012,"describer: ok, the one that always gives us trouble.  sky glancer.
describer: he's leaning back on a triangle, with a square on the top left of his face.
",G,B
6013,"describer: very good.
describer: flying dude.
",C,C
6014,"describer: ok, the one we always get wrong when it comes to sky glancer.
describer: not sky glancer but the other fellow.
",B,D
6015,"describer: dumbo
",A,E
6016,"describer: car seat
",H,F
6017,"describer: bed
",J,F
6018,"describer: ok, not lighnting bolt or the other kneeling, but the other one with their hands out.
describer: same position just swapped, basically, not on their knees.
matcher: is that with the triangle on the back pointing the top left?
describer: doesn't look like anything on their back.
describer: you'd almost say they were standing if there weren't a triangle at the bottom of the image.
",D,C
6019,"describer: bah, that ones probably gonna stumble us for the rest.  but, we have a good system!
matcher: i think we always get that one wrong
describer: this one is the dude laying back with his knees up
",F,F
6020,"describer: trix
",E,C
6021,"describer: karate kid
",I,C
6022,"describer: ok, we get another shot at the one we always get wrong
describer: its in the same position as the two keneling with their arms outstretched
",D,C
6023,"describer: there we go.
describer: bed.
",J,F
6024,"describer: trix
",E,C
6025,"describer: dumbo
",A,E
6026,"describer: not lightning bolt, but kneeling down.
",K,F
6027,"describer: lightning bolt
",L,D
6028,"describer: guy with his knees up
",F,A
6029,"describer: the one we always get wrong for sky glancer.
",B,H
6030,"describer: on top of the two severed triangles
describer: bah, oh well.
describer: car seat.
matcher: i totally brain farted on that one
describer: haha it's ok.  i think we did really great, it was fun working with you!
",H,E
6031,"matcher: yes you as well!
describer: flying dude.
",C,C
6032,"describer: and, to close us out, they gotta give us sky glancer.
describer: dude leaning back on the triangle with the square on the top left.
describer: almost looks like he has a wizard hat on
matcher: he is like sitting on a triange pointing down?
describer: yeah
",G,E
6794,"matcher: hi
describer: man standing on one foot while raising his arms
describer: with 'loose sleeves'
",A,C
6795,"matcher: are you there?
describer: man standing holding a plate in front of him
",D,C
6796,"describer: man kneeling down fully, facing right
",K,F
6797,"describer: man kneeling down while raising both arms
describer: facing right
matcher: is one arm in front and one arm in back?
describer: yes
",B,F
6798,"describer: man sitting down on ground, facing left
matcher: are his knees bent?
matcher: ??
",F,F
6799,"matcher: is there a lag time?  it seems like a long time between when i select and you go on to the next one.
describer: weird one... looks like spread on floor and raising one arm
describer: kinda like wearing a dress
",G,F
6800,"describer: man with knees half bent, holding a plate
",L,A
6801,"describer: sitting down, almost facing camera
describer: like a legless man
",H,F
6802,"describer: standing one on leg, other leg lifted and pointing back
describer: he is facing left
",I,A
6803,"describer: raising arms in y shape, no legs
",C,J
6804,"describer: like man standing up, no arms and legs visible
",J,D
6805,"describer: bunny ears
",E,I
6806,"describer: ok?
matcher: i didn't get a message..sorry
matcher: repeat please
describer: bunny ears
matcher: i selected it and it said it was correct.  i'll do it again.
",E,E
6807,"describer: spreading arms in y
",C,C
6808,"describer: kneeling holding plate, facing right
",K,F
6809,"describer: only one with completely straight vertical line on left side
",J,D
6810,"describer: sitting down facing left
matcher: knees bent?
describer: yes
",F,F
6811,"describer: legless man
describer: sitting
describer: on ground
matcher: facing ?
describer: facing us almost
",H,F
6812,"describer: the weird one
matcher: they're all weird :d
describer: woman in dress spread on floor
",G,F
6813,"describer: kneeling down with arms raised to left and right
",B,F
6814,"matcher: sorry
describer: standing with plate, facing left
",D,A
6815,"describer: standing one one leg with head tilted back and to the right
matcher: arms out in front of him?
describer: yes
",A,C
6816,"describer: knees half bent
matcher: sitting or standing?
describer: like he is about to kneel down
",L,A
6817,"describer: standing one leg, other leg pointing to right
matcher: where are his arms?
matcher: or facing which direction?
describer: in front of him
",I,A
6818,"describer: kneeling with arms spread to left and right
",B,F
6819,"describer: kneeling down facing right
describer: holding plate in front
",K,F
6820,"describer: weird woman in dress with elbow raised
describer: (elbow on right)
matcher: i'm not seeing it.  sorry...anything else?
matcher: wait
matcher: got it
",G,E
6821,"matcher: crap!
matcher: i'm really sorry!
describer: standing on 1 leg both arms raised
",A,C
6822,"describer: legless man
describer: sitting facing us
",H,F
6823,"describer: straight line on left
",J,A
6824,"describer: stand on 1 leg, other leg points to right
",I,A
6825,"describer: standing facing left, holding plate
",D,A
6826,"describer: sitting on ground, knees bent
",F,F
6827,"describer: bunny ears
",E,I
6828,"describer: knees half bent
matcher: standing or sitting
describer: facing right
",L,D
6829,"describer: arms spread out in y shape
",C,A
6830,"describer: stand on 1 leg, other leg pointing to right
",I,A
6831,"describer: kneeling down arms spread to left and right
",B,F
6832,"describer: stand on 1 leg, raising both arms
describer: head tilted back to right
",A,C
6833,"describer: straight line on left
",J,A
6834,"describer: standing holding plate, facing left
",D,A
6835,"describer: legless man sits facing us
",H,F
6836,"describer: weird woman in dress elbow raised
",G,E
6837,"describer: kneeling facing right
describer: holding plate
",K,F
6838,"describer: sitting on ground with knees bent
",F,F
6839,"describer: knees half bent about to kneel
",L,F
6840,"describer: arms in y shape
",C,C
6841,"describer: bunny ears
",E,I
6842,"describer: arms in y
",C,C
6843,"describer: kneeling facing right
",K,F
6844,"describer: about to kneel
",L,F
6845,"describer: woman with elbow raised
",G,F
6846,"describer: sitting knees bent
",F,F
6847,"describer: legless
describer: facing us
",H,J
6848,"describer: straight line on left
",J,A
6849,"describer: kneel arms spread left and right
",B,F
6850,"describer: stand 1 leg arms raised
",A,C
6851,"describer: stand 1 leg
describer: other leg point to right
",I,A
6852,"describer: standing facing left
describer: holding plate
",D,A
6853,"describer: bunny ears
",E,I
6854,"describer: stand 1 leg, other leg points right
",I,D
6855,"describer: stand facing left
describer: holding plate
",D,B
6856,"describer: woman with elbow raised
",G,F
6857,"describer: straight line on left
",J,A
6858,"describer: stand 1 leg, both arms raised
",A,C
6859,"describer: kneel facing right
describer: holds plate
",K,F
6860,"describer: y arms
",C,C
6861,"describer: kneel arms spread
",B,F
6862,"describer: sit knees bent
",F,F
6863,"describer: about to kneel
",L,F
6864,"describer: bunny
",E,E
6865,"describer: legless sits facing us
describer: nice playing with ya!
matcher: same here!  thanks!
",H,F
5000,"matcher: is there a triangle on it?
",C,C
5001,"matcher: are there triangles on it?
describer: kinda
describer: theres a triangle sticking out to the right
describer: looks like a person with their knees bent to the right
",L,C
5002,"describer: looks like a person standing with something in their hands facing left
",D,A
5003,"describer: triangles on left and right and a tilted box on top
describer: looks kinda like someone is kneeling
",B,E
5004,"describer: this one kinda weird
describer: triangle on bottom and top right
describer: box on top like a head
describer: shaped like a 'J'
",G,H
5005,"describer: diamond for a head
describer: pointed triangles sticking right
describer: looks like someone kneeling again
",K,G
5006,"describer: not much sticking out, kinda looks like used tooth paste
",H,H
5007,"describer: looks like a guy facing left with a leg sticking up
",A,A
5008,"describer: resembles a bottle with a diamond shaped cap
describer: flat surface that the diamond is sitting on
",J,J
5009,"describer: hmm has kinda a t shape
describer: with lots going on the left side
describer: 2 triangles and a diamond on top
",I,E
5010,"describer: looks like a mountain side with a cube and 2 triangles on top
",E,E
5011,"describer: looks like a person sitting down with legs slightly bent
describer: like leaned up against a wall
",F,F
5012,"describer: 'J' shape again
",G,J
5013,"describer: person kneeling with 2 diamonds on top
",K,F
5014,"describer: weird t or y shape with triangles+diamond on left side
",I,E
5015,"describer: looks like a man with both arms raised into the air
describer: leaning left
",C,C
5016,"describer: mountain side with cube and triangles on top
",E,E
5017,"describer: man holding an object facing left
",D,A
5018,"describer: man with leg lifted in the air facing left
",A,A
5019,"describer: used toothpaste again
",H,D
5020,"describer: man on knees with triangles facing left and right
",B,E
5021,"describer: bent legs facing right with triangle sticking out
",L,C
5022,"describer: man sitting up against a wall
",F,F
5023,"describer: diamond on top a table or head
",J,J
5024,"describer: triangles facing left and right with diamond on top
",B,G
5025,"describer: two diamonds on top and 2 triangle sticking right
",K,C
5026,"describer: man holding an object to the left
",D,A
5027,"describer: diamond on top head/table
",J,J
5028,"describer: knees bent, triangle right, diamond top
",L,C
5029,"describer: diamond on top two triangles facing left
",I,E
5030,"describer: mountain side, diamond 2 triangles
",E,E
5031,"describer: man with hands in the air
",C,C
5032,"describer: man with a leg up
",A,C
5033,"describer: 'J' shape
",G,J
5034,"describer: man sitting against a wall
",F,F
5035,"describer: used toothpaste
",H,H
5036,"describer: diamond on top of 2 left triangles
",I,E
5037,"describer: diamond on top head/table
",J,J
5038,"describer: man with knees slighty bent
describer: triangle sticking out right
",L,C
5039,"describer: 'J' shape
",G,J
5040,"describer: man on knees arms sticking left and right
",B,F
5041,"describer: used toothpaste
",H,H
5042,"describer: man with arms in air
",C,C
5043,"describer: man sitting against wall
",F,F
5044,"describer: man on knees two diamonds on upper section
",K,F
5045,"describer: mountainside with cube plus 2 triangles
",E,E
5046,"describer: man with leg up
",A,C
5047,"describer: man with object facing left
describer: *facing
",D,A
5048,"describer: mountain side with cube plus 2 triangles
",E,E
5049,"describer: diamond on top 2 left triangles
",I,E
5050,"describer: man on knees, triangle arms facing both sides
",B,F
5051,"describer: used toothpaste
",H,H
5052,"describer: diamond on top head/table
",J,J
5053,"describer: man with leg up
",A,C
5054,"describer: man on knees with large triangle right
",K,F
5055,"describer: 'J' shape
",G,J
5056,"describer: man on knees with large triangle facing right
describer: same one you chose last time
matcher: with the flat bottom?
describer: yeah. it came up the choice before last
",L,F
5057,"describer: man sitting against a wall
",F,F
5058,"describer: man with arms up
",C,C
5059,"describer: man with object facing left
",D,A
5060,"describer: 'J' shape
",G,J
5061,"describer: man with arms in the air
",C,C
5062,"describer: man on knees, two triangles left, 1 right
",B,E
5063,"describer: mountain side, cube + 2 triangles
",E,E
5064,"describer: man with a leg up
",A,C
5065,"describer: man with object facing left
",D,A
5066,"describer: used toothpaste
",H,H
5067,"describer: man on knees with 2 triangles on top
describer: *diamond sorry
",K,F
5068,"describer: man sitting against a wall
",F,F
5069,"describer: man with knees slightly bent
describer: flat bottom
",L,F
5070,"describer: diamond on top 2 triangles facing left
",I,E
5071,"describer: diamond on top head/table
",J,J
1801,"describer: hi
matcher: hi
describer: the object looks like it is standing on one foot with the leg in the air backwards
",I,A
1802,"describer: the object has a diamond on top and the left is a straight box with three points to the right
",J,G
1803,"describer: the object has a diamond on top and the middle looks like a house
",H,G
1804,"matcher: finally
describer: nan
describer: diamond on top the object is sitting down with feet to the left
",F,F
1805,"describer: diamond on top straight part is on right side standing position with feet on ground facing left direction
",D,D
1806,"describer: diamond on top both hands are outstretched in air
",C,C
1807,"describer: object is sitting down like it's leaning back. the diamond is on left side with two triangles one in air the other on floor
",G,F
1808,"describer: square and one triangle are leaning towards the right
describer: both objects are touching
",B,G
1809,"describer: i have no idea how to explain this one . diamond is on top touching triangle
describer: and it sitting on top of another object
",K,G
1810,"describer: two triangles are touching box
",E,G
1811,"describer: diamond is touching triangle that looks like it is kneeling but the legs aren't all the way on the ground
",L,G
1812,"describer: box is to the right of the object that is standing up on one food with the other foot in air
",A,D
1813,"describer: same as last picture one foot in air
",A,G
1814,"describer: one foot in air but not same as last picture
",I,C
1815,"describer: object is kneeling down
",K,F
1816,"matcher: i'll remember the 'kneeling' down picture next time you use that clue
describer: one box touching triangle to the right
",B,F
1817,"describer: ok cool
describer: sitting down relaxing
describer: facing left
",F,F
1818,"describer: both hands in air
",C,C
1819,"describer: leaning back on right hand
",G,F
1820,"describer: sitting down facing right
",E,F
1821,"describer: diamond on top of triangle facing right
",H,G
1822,"describer: left side is straight. one diamond on top of object
",J,D
1823,"describer: object is kneeling down but choose the one you chose last time
",L,F
1824,"describer: object has straight side on the right and diamond on top
",D,D
1825,"describer: object is kneeling down don't choose the one you chose last time
",L,F
1826,"describer: object is kneeling down. but don't choose the one you just chose
",K,F
1827,"describer: straight side on left diamond on top
",J,D
1828,"describer: foot kicked out to left side in air
",I,A
1829,"describer: both hands in air
",C,C
1830,"describer: sitting down facing the left
",F,F
1831,"describer: leaning back on left hand sitting down
describer: i mean on right hand
",G,F
1832,"describer: standing up one foot in the air facing the left
",A,A
1833,"describer: sitting down facing right two triangles in square
",E,F
1834,"describer: one diamond into triangle facing right
",H,G
1835,"describer: looks like a pinwheel facing the right sitting on floor
",B,E
1836,"describer: facing left looks like it's holding something in hand
",D,A
1837,"describer: facing left with something in hands standing up
",D,A
1838,"describer: sitting down leaning back on right hand. facing left
",G,F
1839,"describer: both hands in air
",C,C
1840,"describer: one foot in air facing left side
",A,A
1841,"describer: choose the same one you just picked
",I,D
1842,"describer: left side is straight diamond on top
",J,D
1843,"describer: kneeling down facing right side
",L,F
1844,"describer: diamond touching triangle looks like a pinwheel
",B,E
1845,"describer: kneeling down facing the right side with legs on ground
matcher: is the bottom part a rhombus or some weird triangle shape
describer: weird shape
",K,F
1846,"matcher: for that one next time, say weird shape kneeling and i'll know what you mean :)
describer: cool :)
describer: triangle touching house
describer: diamond touching house
",H,F
1847,"describer: pinwheel at top the smaller pinwheel
",E,E
1848,"describer: sitting down facing left
",F,F
1849,"describer: facing left with right foot in air
matcher: are both arms outstretched?
describer: no
",A,A
1850,"describer: both arms in air
",C,C
1851,"describer: sitting down facing left
",F,F
1852,"describer: large pinwheel
",B,E
1853,"describer: diamond on top left straight side
",J,E
1854,"describer: facing left with something in hands
",D,A
1855,"describer: sitting down leaning back on right hand
",G,F
1856,"describer: kneeling down weird shape
",K,F
1857,"describer: kneeling down
",L,F
1858,"describer: diamond on house
",H,J
1859,"describer: foot in air something in hands
matcher: are the arms outstretched?
describer: yes
",I,C
1860,"describer: small pinwheel
",E,E
1861,"describer: one foot outstretched hands
",I,C
1862,"describer: one foot no hands
",A,D
1863,"describer: diamond on top straight side on right
",D,H
1864,"describer: large pinwheel
",B,E
1865,"describer: both hands in air
",C,C
1866,"describer: kneeling
",L,F
1867,"describer: sitting down facing left
",F,F
1868,"describer: small pinwheel
",E,E
1869,"describer: diamond on house
",H,J
1870,"describer: facing left leaning back on right hand
describer: sitting
",G,F
1871,"describer: diamond on top straight side on left
",J,D
1872,"matcher: , we did it, nice working with you :d
describer: last one good job
describer: kneeling weird job
",K,F
433,"describer: diamond on a self
",J,J
434,"describer: man lying down
",F,F
435,"describer: woman in dress
",G,F
436,"describer: standing on one leg
",I,C
437,"describer: sitting with arms wide
",B,F
438,"describer: sitting bunny rabbit
",E,F
439,"describer: standing and pointing ,one way
",D,D
440,"describer: 'pick the last one you picked
matcher: i have already forgotten what the last one was, beyond standing and pointing and i was not right. the one kind of pointing up i think i chose?
describer: squatting and pointing one way
",L,F
441,"describer: pointed nose and kicking a rock
",A,C
442,"describer: kneeling and praying
",K,F
443,"describer: man with no arms and legs
",H,H
444,"describer: flying person
",C,C
445,"describer: bum sitting against the wall
",F,F
446,"describer: rabbit ears ,sitting
",E,F
447,"describer: squatting and pointing right
",L,F
448,"describer: diamond on a pedestal
",J,J
449,"describer: arms wide and kneeling
",B,E
450,"describer: flying again
",C,C
451,"describer: woman in dress dancing salsa
",G,C
452,"describer: standing and pointing left
",D,A
453,"describer: standing on one leg
",I,C
454,"describer: kneeling and praying
",K,F
455,"describer: no arm and no legs
",H,J
456,"describer: pointed nose and kicking rock
",A,C
457,"describer: diamond on a pedestal
",J,J
458,"describer: kneeling and praying
",K,F
459,"describer: woman in dress dancing salsa
",G,C
460,"describer: arms wide kneeling
",B,E
461,"describer: bunny rabbit again
",E,I
462,"describer: bum against the wall
",F,F
463,"describer: standing on one leg
",I,C
464,"describer: standing and pointing left
",D,A
465,"describer: pointed nose, kicking rock
",A,C
466,"describer: no arms and no legs
",H,H
467,"describer: squatting ,pointed right
",L,F
468,"describer: flying guy
",C,C
469,"describer: salsa woman
",G,C
470,"describer: kneeling and praying
",K,F
471,"describer: on one leg guy
",I,D
472,"describer: squatting pointed right
",L,F
473,"describer: bum against wall
",F,F
474,"describer: point nose, rock kicker
",A,C
475,"describer: arms wide
",B,C
476,"describer: rabbit ears
",E,I
477,"describer: rabbit ears
",D,I
478,"describer: flying
",C,C
479,"describer: no arms and no legs
",H,H
480,"describer: diamond on pedestal
",J,J
481,"describer: bum
",F,F
482,"describer: squatting pointed right
",L,F
483,"describer: salsa woman
",G,C
484,"describer: kneeling and praying
",K,F
485,"describer: arms wide
",B,C
486,"describer: standing pointed left
",D,A
487,"describer: diamond on pedestal
",J,J
488,"describer: no arms or legs
",H,H
489,"describer: rabbit ears
",E,I
490,"describer: on one leg
",I,D
491,"describer: pointed nose rock kicker
",A,C
492,"describer: flying
",C,C
493,"describer: kneel and pray
",K,F
494,"describer: diamond, pedestal
",J,J
495,"describer: standing, pointed left
",D,A
496,"describer: arms wide
",B,C
497,"describer: leg
",F,A
498,"describer: salsa woman
",G,C
499,"describer: one leg
",I,D
500,"describer: flying
",C,C
501,"describer: squatting ,pointed right
",L,F
502,"describer: pointed nose
",A,D
503,"describer: rabbit ears
",E,I
504,"describer: no arms or legs
",H,H
3274,"describer: hi there
matcher: hey
matcher: what am i looking for here?
describer: click on the one that looks like a tail is pointing to the right
describer: and is standing
",I,D
3275,"matcher: nice. we got it.
describer: nice
describer: this one looks like something standing with one foot kicking out to the left of the other leg
describer: the 'head' be tilted towards the top right corner
matcher: are both 'feet' pointed in the same direction?
describer: yes
",A,A
3276,"describer: this one looks like something sitting int he bottom left corner and it has bunny ears
matcher: it's facing to the right?
describer: yes
",E,E
