user_message,label,model_choice
"describer: ok, this looks like a person with their arms held out.  doesn't look like either of the kneelers that you selected before.  but, same general position.
describer: if that makes sense.
",D,F
"describer: ok, this is the one that looks the most like a kneeling person with their arms out.
",K,G
"describer: we'll get there eventually haha.
matcher: they're all so similar
describer: yup, it's no big deal - we'll get what we get.
describer: ok, so....this looks like the one you selected last time, except instead of kneeling, they're kinda talller.
",D,A
"describer: i'mma call that one dumbo from now on.
describer: the one you selected
matcher: nan
describer: this one is the one that looks like a person flying
",C,C
"describer: ok....this is the one i struggled to describe the last time haha
describer: uh.  there's a diamond for a head.  no other feature you can really make out.
",J,A
"matcher: did you see the one i clicked on?
matcher: we need to refer to that one as a car seat
describer: perfect.
describer: ok, this is the one that is leaning back on a triangle, the triangle is pointed downwards.
describer: it has two weird shaped ears.
",G,A
"describer: ok.  this one looks like they're kneeling with their arms out, the shape is almost a lightning bolt.
",L,A
"describer: ok that one is lightning bolt from now on
matcher: yep
describer: ok, now this guy looks like he's doing a karate kick.
describer: two triangles aiming to the left
matcher: the one with slanted square shape?
",I,A
"describer: ok that one is karate kid
describer: this one is car seat.
matcher: nan
",H,I
"describer: this one is dumbo
matcher: wait i forgot which was dumb let me think a sec
describer: looks like they're balanced on one leg, the other leg off the ground, a square to the right of their head
",A,A
"describer: ok.  so, their body looks kind of like a disconnected triangle, and they're kneeling.
describer: there is a triangle on the left, and a triangle on the right, that aren't connected.
",B,A
"matcher: that one looks like someone looking up to sky
describer: this looks like a person sitting down, their knees bent, laid back.
describer: ok, we'll call that one sky.  i think thats all the nicknames we shoudl use though, hard to remember them all haha
",F,A
"describer: the one with the trix rabbit ears looking down.
",E,A
"matcher: call him trix
describer: there ya go
describer: the one with their arms out that isn't kneeling.
",D,C
"describer: car seat
matcher: that one looks like a statue
matcher: lets call it statue
",H,K
"describer: the one you selected i think we said was lightning bolt
describer: this one is karate kid.
",I,I
"describer: trix
",E,A
"describer: god, i hate this one.  we're definitely nicknaming this one if you get it.
describer: it looks like a piece missing, and if you connected it, it'd look like the person was in a bed.  only their head you can really make out.
",J,A
"describer: ok, that one is bed .
matcher: nan
describer: this one is the one that looks the most like they're kneeling with their arms out.  the tallest.
",K,G
"describer: that one is lightning bolt
matcher: those two are hardest
describer: this is sky
",G,I
"matcher: rats
describer: the one that's laying back, knees up.
",F,G
"describer: ok, this is lightning bolt.
",L,A
"describer: the flying dude.
",C,A
"describer: the one you got wrong when i said guy glancing at the sky.
",B,A
"describer: dumbo
describer: pretty much the one with the weird head, balancing on one leg.
",A,I
"describer: car seat
matcher: yeah i forgot for a sec
",H,I
"describer: haha it's ok, if you're unsure, ill help jog the memory.
describer: dumbo again.
",A,A
"describer: trix
",E,A
"describer: flying dude
",C,A
"describer: the guy reclining with knees up
",F,F
"describer: ok, not lightning bolt, but the other one kneeling.
",K,A
"describer: lightning bolt
",L,A
"describer: the one you got wrong when i said sky glancer
describer: it looks like someone kneeling, their torso is like two triangles, not connected too tightly.
describer: the head balanced on the gap of the two triangles.
",B,A
"matcher: crap
describer: the one you just got wrong haha
",G,I
"matcher: nan
describer: no no, it was the opposite both times haha
matcher: it's been a long day
describer: haha it's ok, we're doing pretty good!
describer: karate kid
",I,A
"describer: ok, not lightning bolt, or the other dude, but the one with their hands out.
",D,A
"describer: bed
",J,A
"describer: lightning bolt
matcher: i feel like im going to need a psychologist after this
",L,A
"describer: haha, 'why were you referring to the ink blot as the trix rabbit?'
describer: karate kid this one
",I,A
"describer: not lighting bolt, but the other kneeling
",K,K
"describer: ok, the one that always gives us trouble.  sky glancer.
describer: he's leaning back on a triangle, with a square on the top left of his face.
",G,A
"describer: very good.
describer: flying dude.
",C,C
"describer: ok, the one we always get wrong when it comes to sky glancer.
describer: not sky glancer but the other fellow.
",B,I
"describer: dumbo
",A,A
"describer: car seat
",H,A
"describer: bed
",J,A
"describer: ok, not lighnting bolt or the other kneeling, but the other one with their hands out.
describer: same position just swapped, basically, not on their knees.
matcher: is that with the triangle on the back pointing the top left?
describer: doesn't look like anything on their back.
describer: you'd almost say they were standing if there weren't a triangle at the bottom of the image.
",D,I
"describer: bah, that ones probably gonna stumble us for the rest.  but, we have a good system!
matcher: i think we always get that one wrong
describer: this one is the dude laying back with his knees up
",F,F
"describer: trix
",E,A
"describer: karate kid
",I,A
"describer: ok, we get another shot at the one we always get wrong
describer: its in the same position as the two keneling with their arms outstretched
",D,A
"describer: there we go.
describer: bed.
",J,I
"describer: trix
",E,A
"describer: dumbo
",A,A
"describer: not lightning bolt, but kneeling down.
",K,A
"describer: lightning bolt
",L,A
"describer: guy with his knees up
",F,A
"describer: the one we always get wrong for sky glancer.
",B,K
"describer: on top of the two severed triangles
describer: bah, oh well.
describer: car seat.
matcher: i totally brain farted on that one
describer: haha it's ok.  i think we did really great, it was fun working with you!
",H,A
"matcher: yes you as well!
describer: flying dude.
",C,A
"describer: and, to close us out, they gotta give us sky glancer.
describer: dude leaning back on the triangle with the square on the top left.
describer: almost looks like he has a wizard hat on
matcher: he is like sitting on a triange pointing down?
describer: yeah
",G,I
"matcher: hi
describer: man standing on one foot while raising his arms
describer: with 'loose sleeves'
",A,A
"matcher: are you there?
describer: man standing holding a plate in front of him
",D,A
"describer: man kneeling down fully, facing right
",K,A
"describer: man kneeling down while raising both arms
describer: facing right
matcher: is one arm in front and one arm in back?
describer: yes
",B,A
"describer: man sitting down on ground, facing left
matcher: are his knees bent?
matcher: ??
",F,A
"matcher: is there a lag time?  it seems like a long time between when i select and you go on to the next one.
describer: weird one... looks like spread on floor and raising one arm
describer: kinda like wearing a dress
",G,A
"describer: man with knees half bent, holding a plate
",L,A
"describer: sitting down, almost facing camera
describer: like a legless man
",H,F
"describer: standing one on leg, other leg lifted and pointing back
describer: he is facing left
",I,A
"describer: raising arms in y shape, no legs
",C,A
"describer: like man standing up, no arms and legs visible
",J,A
"describer: bunny ears
",E,A
"describer: ok?
matcher: i didn't get a message..sorry
matcher: repeat please
describer: bunny ears
matcher: i selected it and it said it was correct.  i'll do it again.
",E,G
"describer: spreading arms in y
",C,A
"describer: kneeling holding plate, facing right
",K,A
"describer: only one with completely straight vertical line on left side
",J,A
"describer: sitting down facing left
matcher: knees bent?
describer: yes
",F,A
"describer: legless man
describer: sitting
describer: on ground
matcher: facing ?
describer: facing us almost
",H,F
"describer: the weird one
matcher: they're all weird :d
describer: woman in dress spread on floor
",G,I
"describer: kneeling down with arms raised to left and right
",B,A
"matcher: sorry
describer: standing with plate, facing left
",D,A
"describer: standing one one leg with head tilted back and to the right
matcher: arms out in front of him?
describer: yes
",A,A
"describer: knees half bent
matcher: sitting or standing?
describer: like he is about to kneel down
",L,I
"describer: standing one leg, other leg pointing to right
matcher: where are his arms?
matcher: or facing which direction?
describer: in front of him
",I,A
"describer: kneeling with arms spread to left and right
",B,A
"describer: kneeling down facing right
describer: holding plate in front
",K,G
"describer: weird woman in dress with elbow raised
describer: (elbow on right)
matcher: i'm not seeing it.  sorry...anything else?
matcher: wait
matcher: got it
",G,C
"matcher: crap!
matcher: i'm really sorry!
describer: standing on 1 leg both arms raised
",A,A
"describer: legless man
describer: sitting facing us
",H,F
"describer: straight line on left
",J,A
"describer: stand on 1 leg, other leg points to right
",I,A
"describer: standing facing left, holding plate
",D,A
"describer: sitting on ground, knees bent
",F,A
"describer: bunny ears
",E,A
"describer: knees half bent
matcher: standing or sitting
describer: facing right
",L,I
"describer: arms spread out in y shape
",C,A
"describer: stand on 1 leg, other leg pointing to right
",I,A
"describer: kneeling down arms spread to left and right
",B,A
"describer: stand on 1 leg, raising both arms
describer: head tilted back to right
",A,B
"describer: straight line on left
",J,A
"describer: standing holding plate, facing left
",D,A
"describer: legless man sits facing us
",H,A
"describer: weird woman in dress elbow raised
",G,A
"describer: kneeling facing right
describer: holding plate
",K,I
"describer: sitting on ground with knees bent
",F,A
"describer: knees half bent about to kneel
",L,A
"describer: arms in y shape
",C,A
"describer: bunny ears
",E,A
"describer: arms in y
",C,A
"describer: kneeling facing right
",K,A
"describer: about to kneel
",L,A
"describer: woman with elbow raised
",G,A
"describer: sitting knees bent
",F,A
"describer: legless
describer: facing us
",H,I
"describer: straight line on left
",J,A
"describer: kneel arms spread left and right
",B,A
"describer: stand 1 leg arms raised
",A,A
"describer: stand 1 leg
describer: other leg point to right
",I,I
"describer: standing facing left
describer: holding plate
",D,I
"describer: bunny ears
",E,A
"describer: stand 1 leg, other leg points right
",I,A
"describer: stand facing left
describer: holding plate
",D,I
"describer: woman with elbow raised
",G,A
"describer: straight line on left
",J,A
"describer: stand 1 leg, both arms raised
",A,A
"describer: kneel facing right
describer: holds plate
",K,G
"describer: y arms
",C,A
"describer: kneel arms spread
",B,A
"describer: sit knees bent
",F,A
"describer: about to kneel
",L,A
"describer: bunny
",E,A
"describer: legless sits facing us
describer: nice playing with ya!
matcher: same here!  thanks!
",H,C
"matcher: is there a triangle on it?
",C,A
"matcher: are there triangles on it?
describer: kinda
describer: theres a triangle sticking out to the right
describer: looks like a person with their knees bent to the right
",L,A
"describer: looks like a person standing with something in their hands facing left
",D,A
"describer: triangles on left and right and a tilted box on top
describer: looks kinda like someone is kneeling
",B,F
"describer: this one kinda weird
describer: triangle on bottom and top right
describer: box on top like a head
describer: shaped like a 'J'
",G,I
"describer: diamond for a head
describer: pointed triangles sticking right
describer: looks like someone kneeling again
",K,G
"describer: not much sticking out, kinda looks like used tooth paste
",H,A
"describer: looks like a guy facing left with a leg sticking up
",A,A
"describer: resembles a bottle with a diamond shaped cap
describer: flat surface that the diamond is sitting on
",J,I
"describer: hmm has kinda a t shape
describer: with lots going on the left side
describer: 2 triangles and a diamond on top
",I,A
"describer: looks like a mountain side with a cube and 2 triangles on top
",E,A
"describer: looks like a person sitting down with legs slightly bent
describer: like leaned up against a wall
",F,F
"describer: 'J' shape again
",G,A
"describer: person kneeling with 2 diamonds on top
",K,A
"describer: weird t or y shape with triangles+diamond on left side
",I,A
"describer: looks like a man with both arms raised into the air
describer: leaning left
",C,G
"describer: mountain side with cube and triangles on top
",E,A
"describer: man holding an object facing left
",D,A
"describer: man with leg lifted in the air facing left
",A,A
"describer: used toothpaste again
",H,A
"describer: man on knees with triangles facing left and right
",B,A
"describer: bent legs facing right with triangle sticking out
",L,A
"describer: man sitting up against a wall
",F,A
"describer: diamond on top a table or head
",J,A
"describer: triangles facing left and right with diamond on top
",B,A
"describer: two diamonds on top and 2 triangle sticking right
",K,A
"describer: man holding an object to the left
",D,A
"describer: diamond on top head/table
",J,A
"describer: knees bent, triangle right, diamond top
",L,A
"describer: diamond on top two triangles facing left
",I,A
"describer: mountain side, diamond 2 triangles
",E,A
"describer: man with hands in the air
",C,A
"describer: man with a leg up
",A,A
"describer: 'J' shape
",G,A
"describer: man sitting against a wall
",F,A
"describer: used toothpaste
",H,A
"describer: diamond on top of 2 left triangles
",I,A
"describer: diamond on top head/table
",J,A
"describer: man with knees slighty bent
describer: triangle sticking out right
",L,B
"describer: 'J' shape
",G,A
"describer: man on knees arms sticking left and right
",B,A
"describer: used toothpaste
",H,A
"describer: man with arms in air
",C,A
"describer: man sitting against wall
",F,A
"describer: man on knees two diamonds on upper section
",K,A
"describer: mountainside with cube plus 2 triangles
",E,A
"describer: man with leg up
",A,A
"describer: man with object facing left
describer: *facing
",D,I
"describer: mountain side with cube plus 2 triangles
",E,A
"describer: diamond on top 2 left triangles
",I,A
"describer: man on knees, triangle arms facing both sides
",B,A
"describer: used toothpaste
",H,A
"describer: diamond on top head/table
",J,A
"describer: man with leg up
",A,A
"describer: man on knees with large triangle right
",K,A
"describer: 'J' shape
",G,A
"describer: man on knees with large triangle facing right
describer: same one you chose last time
matcher: with the flat bottom?
describer: yeah. it came up the choice before last
",L,F
"describer: man sitting against a wall
",F,A
"describer: man with arms up
",C,A
"describer: man with object facing left
",D,A
"describer: 'J' shape
",G,A
"describer: man with arms in the air
",C,A
"describer: man on knees, two triangles left, 1 right
",B,A
"describer: mountain side, cube + 2 triangles
",E,A
"describer: man with a leg up
",A,A
"describer: man with object facing left
",D,A
"describer: used toothpaste
",H,A
"describer: man on knees with 2 triangles on top
describer: *diamond sorry
",K,I
"describer: man sitting against a wall
",F,A
"describer: man with knees slightly bent
describer: flat bottom
",L,I
"describer: diamond on top 2 triangles facing left
",I,A
"describer: diamond on top head/table
",J,A
"describer: hi
matcher: hi
describer: the object looks like it is standing on one foot with the leg in the air backwards
",I,A
"describer: the object has a diamond on top and the left is a straight box with three points to the right
",J,A
"describer: the object has a diamond on top and the middle looks like a house
",H,I
"matcher: finally
describer: nan
describer: diamond on top the object is sitting down with feet to the left
",F,I
"describer: diamond on top straight part is on right side standing position with feet on ground facing left direction
",D,A
"describer: diamond on top both hands are outstretched in air
",C,A
"describer: object is sitting down like it's leaning back. the diamond is on left side with two triangles one in air the other on floor
",G,I
"describer: square and one triangle are leaning towards the right
describer: both objects are touching
",B,A
"describer: i have no idea how to explain this one . diamond is on top touching triangle
describer: and it sitting on top of another object
",K,A
"describer: two triangles are touching box
",E,A
"describer: diamond is touching triangle that looks like it is kneeling but the legs aren't all the way on the ground
",L,A
"describer: box is to the right of the object that is standing up on one food with the other foot in air
",A,A
"describer: same as last picture one foot in air
",A,A
"describer: one foot in air but not same as last picture
",I,A
"describer: object is kneeling down
",K,A
"matcher: i'll remember the 'kneeling' down picture next time you use that clue
describer: one box touching triangle to the right
",B,A
"describer: ok cool
describer: sitting down relaxing
describer: facing left
",F,F
"describer: both hands in air
",C,A
"describer: leaning back on right hand
",G,A
"describer: sitting down facing right
",E,A
"describer: diamond on top of triangle facing right
",H,A
"describer: left side is straight. one diamond on top of object
",J,A
"describer: object is kneeling down but choose the one you chose last time
",L,A
"describer: object has straight side on the right and diamond on top
",D,A
"describer: object is kneeling down don't choose the one you chose last time
",L,A
"describer: object is kneeling down. but don't choose the one you just chose
",K,F
"describer: straight side on left diamond on top
",J,A
"describer: foot kicked out to left side in air
",I,A
"describer: both hands in air
",C,A
"describer: sitting down facing the left
",F,A
"describer: leaning back on left hand sitting down
describer: i mean on right hand
",G,F
"describer: standing up one foot in the air facing the left
",A,A
"describer: sitting down facing right two triangles in square
",E,A
"describer: one diamond into triangle facing right
",H,A
"describer: looks like a pinwheel facing the right sitting on floor
",B,A
"describer: facing left looks like it's holding something in hand
",D,A
"describer: facing left with something in hands standing up
",D,A
"describer: sitting down leaning back on right hand. facing left
",G,A
"describer: both hands in air
",C,A
"describer: one foot in air facing left side
",A,A
"describer: choose the same one you just picked
",I,A
"describer: left side is straight diamond on top
",J,A
"describer: kneeling down facing right side
",L,A
"describer: diamond touching triangle looks like a pinwheel
",B,A
"describer: kneeling down facing the right side with legs on ground
matcher: is the bottom part a rhombus or some weird triangle shape
describer: weird shape
",K,I
"matcher: for that one next time, say weird shape kneeling and i'll know what you mean :)
describer: cool :)
describer: triangle touching house
describer: diamond touching house
",H,K
"describer: pinwheel at top the smaller pinwheel
",E,A
"describer: sitting down facing left
",F,A
"describer: facing left with right foot in air
matcher: are both arms outstretched?
describer: no
",A,A
"describer: both arms in air
",C,A
"describer: sitting down facing left
",F,A
"describer: large pinwheel
",B,A
"describer: diamond on top left straight side
",J,A
"describer: facing left with something in hands
",D,A
"describer: sitting down leaning back on right hand
",G,A
"describer: kneeling down weird shape
",K,A
"describer: kneeling down
",L,A
"describer: diamond on house
",H,A
"describer: foot in air something in hands
matcher: are the arms outstretched?
describer: yes
",I,A
"describer: small pinwheel
",E,A
"describer: one foot outstretched hands
",I,A
"describer: one foot no hands
",A,A
"describer: diamond on top straight side on right
",D,A
"describer: large pinwheel
",B,A
"describer: both hands in air
",C,A
"describer: kneeling
",L,A
"describer: sitting down facing left
",F,A
"describer: small pinwheel
",E,A
"describer: diamond on house
",H,A
"describer: facing left leaning back on right hand
describer: sitting
",G,I
"describer: diamond on top straight side on left
",J,A
"matcher: , we did it, nice working with you :d
describer: last one good job
describer: kneeling weird job
",K,F
"describer: diamond on a self
",J,A
"describer: man lying down
",F,A
"describer: woman in dress
",G,A
"describer: standing on one leg
",I,A
"describer: sitting with arms wide
",B,A
"describer: sitting bunny rabbit
",E,A
"describer: standing and pointing ,one way
",D,A
"describer: 'pick the last one you picked
matcher: i have already forgotten what the last one was, beyond standing and pointing and i was not right. the one kind of pointing up i think i chose?
describer: squatting and pointing one way
",L,I
"describer: pointed nose and kicking a rock
",A,A
"describer: kneeling and praying
",K,A
"describer: man with no arms and legs
",H,A
"describer: flying person
",C,A
"describer: bum sitting against the wall
",F,A
"describer: rabbit ears ,sitting
",E,H
"describer: squatting and pointing right
",L,A
"describer: diamond on a pedestal
",J,A
"describer: arms wide and kneeling
",B,A
"describer: flying again
",C,A
"describer: woman in dress dancing salsa
",G,A
"describer: standing and pointing left
",D,A
"describer: standing on one leg
",I,A
"describer: kneeling and praying
",K,A
"describer: no arm and no legs
",H,A
"describer: pointed nose and kicking rock
",A,A
"describer: diamond on a pedestal
",J,A
"describer: kneeling and praying
",K,A
"describer: woman in dress dancing salsa
",G,A
"describer: arms wide kneeling
",B,A
"describer: bunny rabbit again
",E,A
"describer: bum against the wall
",F,A
"describer: standing on one leg
",I,A
"describer: standing and pointing left
",D,A
"describer: pointed nose, kicking rock
",A,A
"describer: no arms and no legs
",H,A
"describer: squatting ,pointed right
",L,A
"describer: flying guy
",C,A
"describer: salsa woman
",G,A
"describer: kneeling and praying
",K,A
"describer: on one leg guy
",I,A
"describer: squatting pointed right
",L,A
"describer: bum against wall
",F,A
"describer: point nose, rock kicker
",A,A
"describer: arms wide
",B,A
"describer: rabbit ears
",E,A
"describer: rabbit ears
",D,A
"describer: flying
",C,A
"describer: no arms and no legs
",H,A
"describer: diamond on pedestal
",J,A
"describer: bum
",F,A
"describer: squatting pointed right
",L,A
"describer: salsa woman
",G,A
"describer: kneeling and praying
",K,A
"describer: arms wide
",B,A
"describer: standing pointed left
",D,A
"describer: diamond on pedestal
",J,A
"describer: no arms or legs
",H,A
"describer: rabbit ears
",E,A
"describer: on one leg
",I,A
"describer: pointed nose rock kicker
",A,A
"describer: flying
",C,A
"describer: kneel and pray
",K,A
"describer: diamond, pedestal
",J,A
"describer: standing, pointed left
",D,A
"describer: arms wide
",B,A
"describer: leg
",F,A
"describer: salsa woman
",G,A
"describer: one leg
",I,A
"describer: flying
",C,A
"describer: squatting ,pointed right
",L,A
"describer: pointed nose
",A,A
"describer: rabbit ears
",E,A
"describer: no arms or legs
",H,A
"describer: hi there
matcher: hey
matcher: what am i looking for here?
describer: click on the one that looks like a tail is pointing to the right
describer: and is standing
",I,A
"matcher: nice. we got it.
describer: nice
describer: this one looks like something standing with one foot kicking out to the left of the other leg
describer: the 'head' be tilted towards the top right corner
matcher: are both 'feet' pointed in the same direction?
describer: yes
",A,A
"describer: this one looks like something sitting int he bottom left corner and it has bunny ears
matcher: it's facing to the right?
describer: yes
",E,F
"describer: this one is kind of chunky and looks like someone kneeling
describer: the head is attached to another square similar to the head
matcher: with it's arms outstretched and facing to the right?
describer: the feet kind of look like they point up
describer: yes
",K,K
"describer: this is another kneeling but the arms are pointed to the left and it has another triangle awkwardly attached on the right side of the head
matcher: looks kind of like a mouse?
describer: yes good call
",B,K
"describer: this is a kneeling that is one block with no arms
describer: feet/knees pointing to the right
describer: kind of
",H,F
"describer: this one has it's arms wide open
matcher: like it's falling to the left?
describer: yes
",C,A
"describer: this one has its knees bent and arms out to the right
",L,A
"describer: this one is kind of like the rabbit but it is looking to the left and seems like it is reclining
matcher: does it have a triangle tail?
describer: yes
",G,F
"describer: this looks like someone standing and is kind of blocky
describer: looks like arms are out to the left
",D,C
"describer: this one has the head perfectly centered on a a square is body
describer: could be an upside down bird
",J,I
"describer: person laying/sitting with foot and leg out to the left
",F,A
"describer: arms spread out leaning left
",C,A
"describer: standing with arms to left very blocky
",D,A
"describer: bending knees arms to the right
",L,A
"describer: rabbit sitting down facing to the right
",E,A
"describer: person kneeling with up pointed feet and head connected to square
",K,A
"describer: blocky kneeling knees to right
",H,A
"describer: upside down bird
",J,A
"describer: person sitting with legs to the left
",F,A
"describer: the mouse looking one
",B,A
"describer: ugly bunny with triangle tail
",G,A
"describer: standing with one foot and leg lifted up pointing to the left
matcher: kicker. got it.
",A,A
"describer: kicker good word
matcher: thanks. ;d
describer: the one standing with the tail to the right
describer: let's call it the flyer
matcher: sounds good. nice name.
",I,A
"describer: the mouse
",B,A
"describer: sitting bunny looking to the right
",E,A
"describer: bent knees with arms to the right
",L,A
"describer: upside down bird
",J,A
"describer: arms spread wide
",C,A
"describer: the flyer
",I,A
"describer: ugly laying down bunny with triangle tail
describer: call it drunken bunny?
matcher: .
matcher: ugly bunny is fine.
",G,H
"describer: blocky kneeling knees to right
",H,A
"describer: the kicker
",A,A
"describer: blocky stander with arms to the left
describer: stander
",D,I
"describer: person sitting legs to the left
",F,A
"describer: kneeling with feet pointed up and arms right
describer: double square
",K,K
"describer: upside down bird
",J,A
"describer: person sitting legs to the left
",F,A
"describer: ugly bunny
",G,A
"describer: the mouse
",B,A
"describer: arms spread wide
",C,A
"describer: the kicker
",A,A
"describer: knees bent arms to the right
",L,A
"describer: sitting bunny
",E,A
"describer: blocky kneeling no arms knees point right
",H,A
"describer: kneeling feet pointed up arms right double square
matcher: feet up kneeling. got it.
",K,A
"describer: stander with arms to the left
",D,A
"describer: the flyer
",I,A
"describer: arms spread wide
",C,A
"describer: kneeling feet pointed up
",K,A
"describer: sitting bunny
",E,A
"describer: person sitting feet to the left
",F,A
"describer: the kicker
",A,A
"describer: bent knees arms to the right
",L,A
